Company Name,Current Email,Current Phone,Contract Value
CENTRAL PLATEAU CLEANUP COMPANY  LLC,,,1013077761.35
WESTAT  INC.,,,992098233.1700001
CGI INC,,,983719151.9400002
BLUEFORGE ALLIANCE,,,980744520.0
TRUMBULL CORPORATION AND BRAYMAN CONSTRUCTION CORPORATION  A JOINT VENTURE,,,977993086.85
JACOBS TECHNOLOGY INC.,,,975601065.6500001
GENERAL DYNAMICS LAND SYSTEMS INC.,,,972577793.8199999
LAUREL TECHNOLOGIES PARTNERSHIP,,,941992783.3299999
OPTUMSERVE HEALTH SERVICES INC,,,922213299.39
AUSTAL LIMITED,,,912985894.0699999
BATH IRON WORKS CORPORATION,,,905219941.0
CREDENCE MANAGEMENT SOLUTIONS LIMITED LIABILITY COMPANY,,,898752341.04
BALL CORPORATION,,,878670235.01
OSHKOSH CORPORATION,,,863316012.95
MVM  INC.,,,854318157.4300001
BAE SYSTEMS TECHNOLOGY SOLUTIONS & SERVICES INC.,,,846754736.5500003
L3HARRIS GLOBAL COMMUNICATIONS  INC.,,,825938856.3000001
CLARK CONSTRUCTION GROUP LLC,,,824649091.0
BROOKHAVEN SCIENCE ASSOCIATES  LLC,,,805822524.8
BELL BOEING JOINT PROJECT OFFICE,,,798555919.44
GREAT LAKES DREDGE & DOCK CORPORATION,,,793515716.94
LEIDOS BIOMEDICAL RESEARCH INC,,,779690864.0
FERMI RESEARCH ALLIANCE  LLC,,,768652939.36
EXPRESS SCRIPTS INC,,,754587660.03
CAE USA INC.,,,753523215.1800001
ASGN INCORPORATED,,,752921910.0999999
CARAHSOFT TECHNOLOGY CORP,,,740406642.2
GEORGIA TECH RESEARCH CORPORATION,,,701897110.4999999
NORTHROP GRUMMAN SYSTEMS CORP,,,698805462.6999999
NATIONAL AEROSPACE SOLUTIONS  LLC,,,694288537.73
VERIZON BUSINESS NETWORK SERVICES LLC,,,667051522.4000001
LOYAL SOURCE GOVERNMENT SERVICES  LLC,,,663953560.57
BP P.L.C.,,,657664047.6099998
GENERAL DYNAMICS MISSION SYSTEMS  INC.,,,652873074.2700001
AECOM TECHNICAL SERVICES  INC.,,,649261225.0999999
FAMILY HEALTH INTERNATIONAL,,,642196903.5400001
GENERAL ATOMICS,,,617547227.05
FEDERAL EXPRESS CORPORATION,,,613279047.4
ROLLS-ROYCE CORPORATION,,,605538683.82
ENVIRONMENTAL CHEMICAL CORPORATION,,,604257994.25
MANAGEMENT & TRAINING CORPORATION,,,599209945.44
BRASFIELD & GORRIE  L.L.C.,,,585487744.37
ELECTRIC BOAT CORPORATION,,,584357044.94
GENERAL DYNAMICS ORDNANCE & TACTICAL SYSTEMS  INC.,,,584279070.72
B.L. HARBERT HOLDINGS  L.L.C.,,,580701115.44
MISSION SUPPORT & TEST SERVICES LLC,,,572973869.0
DDB CHICAGO INC.,,,567475415.73
CACI TECHNOLOGIES  LLC,,,559875844.64
MAXIMUS EDUCATION LLC,,,556290598.99
RESEARCH TRIANGLE INSTITUTE INC,,,545990268.76
THE WHITING-TURNER CONTRACTING COMPANY,,,537791429.1899999
KPMG L.L.P.,,,535744691.4900002
METROPOLITAN SECURITY SERVICES  INC.,,,520490464.1199999
WESTON SOLUTIONS HOLDINGS INC,,,512062876.1700001
HARPER CONSTRUCTION COMPANY  INC.,,,499055428.32
PPD DEVELOPMENT LP,,,497836789.0
L3 TECHNOLOGIES  INC.,,,488719079.06999975
MANTECH ADVANCED SYSTEMS INTERNATIONAL  INC.,,,481777731.89
CACI NSS  LLC,,,480523979.21000004
RQ CONSTRUCTION  LLC,,,474572852.6000001
AIRBORNE TACTICAL ADVANTAGE CO LLC,,,470568884.7099999
RED RIVER TECHNOLOGY LLC,,,466396562.55
PROGENY SYSTEMS  LLC,,,457363199.9
ASSOCIATION OF UNIVERSITIES FOR RESEARCH IN ASTRONOMY  INC.,,,456204256.65
DEPLOYED SERVICES  LLC,,,452948679.32
VALIANT GLOBAL DEFENSE SERVICES INC.,,,452622115.39000005
KEARNEY & COMPANY  P.C.,,,451905773.21000004
SECURITAS AB,,,446827797.11000013
THE PENNSYLVANIA STATE UNIVERSITY,,,445877607.28
DRAGADOS/HAWAIIAN DREDGING/ORION JV,,,440571632.0
TORCH TECHNOLOGIES  INC.,,,438852600.56000006
ALL POINTS LOGISTICS  LLC,,,432610032.0
AMERICAN TYPE CULTURE COLLECTION,,,432025241.18
LEONARDO SPA,,,424682216.16999996
UNITEDHEALTH GROUP INCORPORATED,,,422584481.46999997
GUIDEHOUSE INC.,,,422337371.48
FLUOR INTERCONTINENTAL  INC,,,420664784.96999997
VIGOR MARINE LLC,,,419826643.16
GENENTECH USA  INC,,,418999426.94
TRAX INTERNATIONAL CORPORATION,,,418408731.47
SCIENTIFIC RESEARCH CORP,,,412202894.39
AMAZON WEB SERVICES  INC.,,,410936922.04
GENERAL DYNAMICS-OTS  INC.,,,405062674.73
DRS NETWORK & IMAGING SYSTEMS LLC,,,399330070.05
GENERAL DYNAMICS OTS (WILKES BARRE)  LLC,,,399248524.45
WEEKS MARINE  INC.,,,398422078.28999996
ALLIANT TECHSYSTEMS OPERATIONS LLC,,,397418253.8
AGILE DEFENSE  LLC,,,391721455.9499999
THALES DEFENSE & SECURITY INC,,,390742182.54
WALSH GROUP LTD.  THE,,,389149360.08
INGENESIS INC.,,,383084557.01
THE PARSONS CORPORATION,,,376195179.85999995
TEXTRON SYSTEMS CORP,,,373660248.21
SYSTEMS PLANNING AND ANALYSIS  INC.,,,366321565.31
SEQIRUS INC,,,361102596.38
DELOITTE & TOUCHE LLP,,,356627886.13
DCS CORPORATION,,,354527302.41999996
NELNET  INC.,,,353773496.33
JPATS LOGISTICS SERVICES  LLC,,,350967393.89
TETRA TECH  INC.,,,348932710.1100001
VETERANS EVALUATION SERVICES  INC,,,346089242.85
LINQUEST CORPORATION,,,338510378.03000003
TRANSOCEANIC CABLE SHIP COMPANY LLC,,,336372465.13
CROWLEY LOGISTICS  INC.,,,331027563.72
CARNEGIE MELLON UNIVERSITY,,,329203642.94
UNITED TECHNOLOGIES CORPORATION,,,328978591.21999997
ENSIGN-BICKFORD INDUSTRIES  INC.,,,327775729.75
GOODRICH CORPORATION,,,325883897.2699999
MYTHICS  INC.,,,325720372.66999996
CONSTELLIS HOLDINGS  LLC,,,324067528.24
AMERICAN ORDNANCE LLC,,,322859151.43
AMERICAN SYSTEMS CORPORATION,,,320276017.0199999
CATERPILLAR INC.,,,319250203.9
SONOVA HOLDING AG,,,316160105.16
COTTON COMMERCIAL USA  INC.,,,315035619.15999997
LIVANTA LLC,,,314311641.0
SIERRA NEVADA CORPORATION,,,311585151.79999995
KRATOS DEFENSE & SECURITY SOLUTIONS  INC.,,,308137640.09
CFM INTERNATIONAL  INC.,,,307454397.45
KEYSTONE PEER REVIEW ORGANIZATION  INC.,,,298576424.0
THE CHARLES STARK DRAPER LABORATORY  INC.,,,293998476.0
AMERICAN INSTITUTES FOR RESEARCH IN THE BEHAVIORAL SCIENCES,,,293366628.29
TACTICAL AIR SUPPORT INC,,,292797284.58
MARATHON PETROLEUM COMPANY LP,,,292119080.99000007
BCCG A JOINT VENTURE,,,287037592.0
MANSON CONSTRUCTION CO.,,,282505220.6
CONTI FEDERAL SERVICES  LLC,,,278824970.12
VERIZON COMMUNICATIONS INC.,,,275577362.92
KBR SERVICES  LLC,,,275118623.15999997
BP PRODUCTS NORTH AMERICA INC.,,,274872441.68
LMI CONSULTING  LLC,,,272775797.16999996
NORIDIAN HEALTHCARE SOLUTIONS  LLC,,,271442165.82
SIKORSKY AIRCRAFT CORPORATION,,,271408504.16
DATA LINK SOLUTIONS L.L.C.,,,267214473.24
CDM CONSTRUCTORS INC,,,265478149.53
PAE APPLIED TECHNOLOGIES LLC,,,264725139.1
BLUE ORIGIN  LLC,,,264147644.0
SIEMENS AKTIENGESELLSCHAFT,,,262852371.48000005
BLACK CONSTRUCTION-TUTOR PERINI JV,,,259386681.32000002
ELBIT SYSTEMS OF AMERICA - NIGHT VISION LLC,,,257206076.45999998
IDENTITY THEFT GUARD SOLUTIONS  INC.,,,249320900.0
APPLIED RESEARCH ASSOCIATES  INC.,,,246858950.39
"EASTERN RESEARCH GROUP, INC.",,,245864664.76
BL HARBERT INTERNATIONAL LLC,,,243060647.05
KORTE CONSTRUCTION COMPANY,,,241404161.47
BOOZ ALLEN HAMILTON HOLDING CORPORATION,,,237863901.31999996
PRIDE INDUSTRIES,,,236533154.14999992
THE ARORA GROUP  INC.,,,233812542.16
WORLD WIDE TECHNOLOGY LLC,,,230610828.88000003
PHILLIPS 66,,,229767635.25999993
COLORADO SPRINGS UTILITIES,,,229406570.62
OLIN WINCHESTER  LLC,,,228584065.41
BCG FEDERAL CORPORATION,,,228100861.77
GRUNLEY CONSTRUCTION CO.  INC.,,,227957015.62000003
CORE TECH-HDCC-KAJIMA LLC,,,224764997.48000002
THE LEWIN GROUP  INC.,,,224374748.15
PECKHAM VOCATIONAL INDUSTRIES  INC.,,,221839065.56
FLUOR FEDERAL SERVICES INC,,,221249633.81
GENERAL DYNAMICS OTS (NICEVILLE)  INC.,,,219444847.89000002
MISSOURI HIGHER EDUCATION LOAN AUTHORITY,,,216277774.21
TCOM  L.P.,,,211145129.77000004
THE LANE CONSTRUCTION CORPORATION,,,210897901.03
GULFSTREAM AEROSPACE CORPORATION,,,210508919.56999996
LEIDOS HOLDINGS INC.,,,209348505.52999997
DELTA RESOURCES  INC.,,,208855169.0
NATIONAL OPINION RESEARCH CENTER,,,208157158.84999996
ORACLE AMERICA  INC,,,208153079.03
RENK AMERICA LLC,,,207266478.53
PORTER NOVELLI PUBLIC SERVICES INC.,,,206743206.74
EDFINANCIAL SERVICES LLC,,,206494256.69
WALSH FEDERAL LLC,,,203559141.6
UNITED CONCORDIA COMPANIES  INC.,,,203357911.8
ABSHER CONSTRUCTION CO.,,,202875170.0
JOHNSON CONTROLS BUILDING AUTOMATION SYSTEMS  LLC,,,201382565.7
OPTUMRX ADMINISTRATIVE SERVICES  LLC,,,199263227.13
MANSON CONSTRUCTION HOLDING COMPANY,,,197332171.04
POND CONSTRUCTORS INC.,,,197310402.95999998
INTERNATIONAL AUTO LOGISTICS  LLC,,,196460608.59
CHARLES RIVER LABORATORIES  INC.,,,194041952.0
FIDELITY TECHNOLOGIES CORPORATION,,,193482918.9
MARINE HYDRAULICS INTERNATIONAL  LLC,,,193446374.14
BCG FEDERAL CORP.,,,192289593.0
EVERGY MISSOURI WEST  INC.,,,191505734.0
PARKER-HANNIFIN CORPORATION,,,190870684.93
AMERGIS HEALTHCARE STAFFING  INC.,,,190416031.79
MAXIM HEALTHCARE STAFFING SERVICES  INC.,,,190416031.79
FEDEX SUPPLY CHAIN DISTRIBUTION SYSTEM  INC.,,,190243801.48
DRAKEN INTERNATIONAL  LLC,,,189100647.22
AMERICAN ELECTRONIC WARFARE ASSOCIATES  INCORPORATED,,,187952382.66
THE MIL CORPORATION,,,187927815.46
PARKDALE  INCORPORATED,,,187360713.0
THE CADMUS GROUP LLC,,,186030752.53
R. C. CONSTRUCTION CO.  INC.,,,185336630.0
AEVEX AEROSPACE  LLC,,,185031748.0
CRANE CO.,,,184946122.0
TELEDYNE TECHNOLOGIES INC,,,184107320.04000002
SIG SAUER INC.,,,183734248.84
MCCARTHY HOLDINGS  INC.,,,181551864.0
CLARK CONSTRUCTION GROUP-CALIFORNIA  LP,,,178964275.69
PALANTIR TECHNOLOGIES INC.,,,178011250.20000002
EXELIS INC.,,,176168190.41
GENERAL ELECTRIC COMPANY,,,175199931.91
AMERICAN ROLL-ON ROLL-OFF CARRIER  LLC,,,174913316.78
MERCK & CO.  INC.,,,174606943.0
ADVANTAGED SOLUTIONS  INC.,,,173111949.83
SENTAR  INC.,,,172761870.09
RIVERSIDE RESEARCH INSTITUTE,,,170025846.99
VGS INFRASTRUCTURE SERVICES INC,,,169774413.16
DENTRUST DENTAL INTERNATIONAL  INC.,,,169683918.0
AT&T INC.,,,165696124.70999998
FISHER SAND & GRAVEL CO,,,165500000.0
BIGBEAR.AI FEDERAL  LLC,,,165150598.45
ALPHA MARINE SERVICES  L.L.C.,,,164861782.22
M. A. MORTENSON COMPANIES  INC.,,,163946393.65
BY LIGHT  PROFESSIONAL IT SERVICES LLC,,,162387624.78
ENLIGHTEN IT CONSULTING LLC,,,162293401.74
KIEWIT INFRASTRUCTURE WEST CO.,,,160695799.98
ECC INTERNATIONAL LLC,,,160000000.0
AMERIQUAL GROUP  LLC,,,159065907.08
GRANITE CONSTRUCTION INCORPORATED,,,158844996.82
BY LIGHT PROFESSIONAL IT SERVICES LLC,,,158637711.03000003
US FOODS HOLDING CORP.,,,158541155.00000003
GRANITE-OBAYASHI 2  A JOINT VENTURE,,,158486525.6
JT4  LLC,,,158288900.14
VSOLVIT LLC,,,157881414.24
DYNETICS  INC.,,,157877110.88
DLT SOLUTIONS  LLC,,,157038878.08000004
GENCO DISTRIBUTION SYSTEM  INC.,,,156323909.54
RAPISCAN SYSTEMS INC,,,155666215.41
DONJON MARINE CO.  INC.,,,154127271.0
DRS SUSTAINMENT SYSTEMS INC,,,152433141.25
W. G. YATES & SONS CONSTRUCTION COMPANY,,,150878878.0
FERROVIAL CONSTRUCCION PR  LLC,,,150656471.92
SKANSKA USA CIVIL NORTHEAST INC.,,,149950000.0
EXXON MOBIL CORPORATION,,,149063492.54000002
GARCO CONSTRUCTION  INC.,,,148960630.01
POTOMAC ELECTRIC POWER CO,,,148821208.07
SEACORP  LLC,,,147295508.57999998
EMERGENT BIOSOLUTIONS INC.,,,146914838.1
M. C. DEAN  INC.,,,146576873.84
GLAXOSMITHKLINE  LLC,,,145735373.64
FORFEITURE SUPPORT ASSOCIATES LLC,,,144850318.49999997
HPI FEDERAL LLC,,,144018473.51
ABM INDUSTRIES INCORPORATED,,,143903594.71
RTX CORPORATION,,,142928994.44
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,,,142846702.16
MICROSOFT CORPORATION,,,142342683.76999998
BAE SYSTEMS LAND AND ARMAMENTS L.P.,,,141928580.29000002
UNIVERSITY OF TEXAS AT AUSTIN,,,141627925.0
GE PRECISION HEALTHCARE LLC,,,141078945.50999996
ARMTEC DEFENSE PRODUCTS CO.,,,140556918.95
JBS INTERNATIONAL  INC.,,,139784859.63
UTAH STATE UNIVERSITY SPACE DYNAMICS LABORATORY,,,139633100.5
SOS INTERNATIONAL LLC,,,139545496.36
BAE SYSTEMS JACKSONVILLE SHIP REPAIR LLC,,,139228701.05
TECHNOLOGY SERVICE CORP,,,138734487.0
GM DEFENSE LLC,,,137584314.26
CACI ENTERPRISE SOLUTIONS  LLC,,,137239421.63
SLSCO LTD.,,,137100651.58
GLOBAL ENTERPRISE SOLUTIONS  INC.,,,136981739.60000002
BAE SYSTEMS PLC,,,136618266.62
TOTE SERVICES  LLC,,,134375993.69
WORKWEAR OUTFITTERS  LLC,,,132053975.73
FLORIDA KEYS AQUEDUCT AUTHORITY,,,131998961.17
OSCAR RENDA CONTRACTING INC,,,131755000.0
CUMMINS INC.,,,131681053.15999998
USF HOLDING CORP.,,,131283702.46999998
CHEVRON CORPORATION,,,131097865.88
MRIGLOBAL,,,131061925.44
SOUTHEASTERN COMPUTER CONSULTANTS  INC.,,,130339265.78999999
THE DUTRA GROUP,,,130285546.06
SAUER CONSTRUCTION  LLC,,,129968525.44
NOBLIS MSD LLC,,,129905121.03
MERIDIAN MEDICAL TECHNOLOGIES  LLC,,,129680169.6
JACOBS GOVERNMENT SERVICES COMPANY,,,129606729.64999999
MW BUILDERS  INC.,,,129377328.0
INTER-CON SECURITY SYSTEMS  INC.,,,129332246.78999999
AMERICAN MEDICAL RESPONSE  INC.,,,129273040.04999998
IPG DXTRA  INC.,,,127999044.0
ARCHER-DANIELS-MIDLAND COMPANY,,,127557673.1
ODLE MANAGEMENT GROUP  L.L.C.,,,126037034.81
PERATON TECHNOLOGY SERVICES INC.,,,122814495.25999999
NOVETTA  INC.,,,122668442.81
SIGA TECHNOLOGIES  INC.,,,122643794.53
SIGMA DEFENSE SYSTEMS LLC,,,122030615.04999998
CADDELL-NAN A JOINT VENTURE,,,121776365.08
THE RAND CORPORATION,,,121651326.6
KONINKLIJKE PHILIPS N.V.,,,120654119.32999997
VIGOR WORKS LLC,,,120607308.0
GENTEX CORPORATION,,,120537493.5
MAXIMUS FEDERAL SERVICES  INC.,,,120157707.54000002
STRATEGIC ANALYSIS  INC.,,,119679974.52
STG INTERNATIONAL  INC.,,,119496596.17999999
SRI INTERNATIONAL,,,119371581.66
NELNET SERVICING  LLC,,,119100268.17
BAE SYSTEMS NORFOLK SHIP REPAIR INC.,,,118604315.59
BAE SYSTEMS INFORMATION AND ELECTRONIC SYSTEMS INTEGRATION INC.,,,118389135.66999999
PERATON RISK DECISION INC.,,,117688692.21
SOUTHERN MARYLAND ELECTRIC COOPERATIVE  INC.,,,117004562.0
THE SOUTHERN COMPANY,,,116726374.04
AMERICAN WATER OPERATIONS AND MAINTENANCE  LLC,,,116158920.13
STRING KING LACROSSE  LLC,,,115507199.15
MORAN TRANSPORTATION COMPANY,,,115448927.16
CHS INC.,,,114821898.9
PARSONS GOVERNMENT SERVICES INC.,,,114592930.24000001
KELLY SERVICES  INC.,,,114503290.76000002
THE CIANBRO COMPANIES,,,114032324.19
LUMEN TECHNOLOGIES GOVERNMENT SOLUTIONS  INC.,,,113859749.99000001
SPECTRUM HEALTHCARE RESOURCES  INC.,,,113336710.93
AERO TURBINE  INC,,,113217543.24
KNIGHT POINT SYSTEMS  LLC,,,113023275.72
CDA INC,,,112761742.62
MATSON NAVIGATION COMPANY  INC.,,,112517654.41
PERATON ENTERPRISE SOLUTIONS LLC,,,110965792.15999998
THALES,,,110598300.71000001
PACIFIC TECH CONSTRUCTION  INC.,,,108281936.0
BALFOUR BEATTY CONSTRUCTION  LLC,,,107843028.0
GINKGO BIOWORKS HOLDINGS  INC.,,,107487110.82
OMNICOM GROUP INC.,,,106871187.0
VERITAS CAPITAL FUND MANAGEMENT  L.L.C.,,,106688057.94
MCLAUGHLIN RESEARCH CORPORATION,,,106339860.0
TCFII VALOR BUYER LLC,,,106104815.96999998
MESSER CONSTRUCTION CO.,,,105916765.03999999
PACIFIC GAS AND ELECTRIC COMPANY,,,105862609.81
DEWBERRY ENGINEERS INC.,,,104874535.57999998
QINETIQ GROUP PLC,,,104405023.22
YALE NEW HAVEN HEALTH SERVICES CORPORATION,,,104235934.15
M1 SUPPORT SERVICES  L.P.,,,104099875.69999999
NAN INC,,,104095543.89
GOLDEN SVCS  LLC,,,104052920.0
VT MILCOM INC.,,,103960912.6
MID-AMERICA CONVERSION SERVICES  LLC,,,102047049.39
SIEMENS GOVERNMENT TECHNOLOGIES INC,,,101940379.0
LEXISNEXIS SPECIAL SERVICES INC,,,101880189.51
ACUMEN LLC,,,99814580.0
CENTERRA GROUP  LLC,,,99447090.55
MCGOUGH CONSTRUCTION CO.  LLC,,,99386087.36
AAR GOVERNMENT SERVICES  INC.,,,99240845.87
DELAWARE RESOURCE GROUP OF OKLAHOMA  LLC,,,99000683.08
THE TRAVIS ASSOCIATION FOR THE BLIND,,,98756654.29
J. F. BRENNAN COMPANY  INC.,,,97960695.0
J.E. DUNN CONSTRUCTION GROUP  INC,,,97351367.91999999
THE UNIVERSITY OF DAYTON,,,97039659.89
CONSIGLI HOLDINGS  INC.,,,96900329.64
TRU SIMULATION + TRAINING INC.,,,96893626.1
VOLKSWAGEN AKTIENGESELLSCHAFT,,,96583895.13
REYES CONSTRUCTION  INC.,,,96547846.0
WPP PLC,,,96472453.45
ITA INTERNATIONAL  LLC,,,95190097.6
ALON USA  LP,,,94732582.39999996
J & J MAINTENANCE INC,,,94496794.44999997
GEO SECURE SERVICES  LLC,,,94335254.07000001
HORMEL FOODS CORPORATION,,,94064486.66
GUYCO INC,,,93946000.0
CACI INTERNATIONAL INC.,,,93673295.9
SKOOKUM EDUCATIONAL PROGRAMS INC,,,93327548.33999999
VALKYRIE ENTERPRISES  INC.,,,92781355.24
COMPASS PTS JV  THE,,,92758725.61000001
AMERICAN WATER WORKS COMPANY  INC.,,,92642481.07
BURNS & MCDONNELL  INC.,,,91981352.79
LIFECARE  INC.,,,91684298.55
PII  INC.,,,91059865.69999999
PERATON SOLUTIONS INC.,,,90973014.4
RECORD STEEL & CONSTRUCTION INC,,,90899000.0
OTICON  INC,,,90767101.08
ADVANCING RESILIENCE IN COMMUNITIES,,,90582530.66000001
KETCHUM INC.,,,89977911.0
STARR II  A JOINT VENTURE,,,89766703.12999998
SAPIENT GOVERNMENT SERVICES  INC.,,,89693244.06
DLA TROOP SUPPORT,,,89516000.0
CHAS KURZ & CO INC,,,88957354.07
MOOG INC.,,,88685214.45
MCKESSON MEDICAL-SURGICAL GOVERNMENT SOLUTIONS LLC,,,88263018.28999999
ANALYTIC SERVICES INC.,,,88193358.68
DEV TECHNOLOGY GROUP INC,,,87628998.39999999
WSM PACIFIC SIOP  A JOINT VENTURE,,,87341391.56
ARCADIS N.V.,,,87240975.38
BLACK & VEATCH SPECIAL PROJECTS CORP.,,,87235029.35000001
VECTRUS SYSTEMS CORPORATION,,,86009145.3
WGL ENERGY SERVICES  INC.,,,85946300.22000001
CONTINENTAL MARITIME OF SAN DIEGO  LLC,,,85535519.72
THE EMMES COMPANY LLC,,,85306934.0
ABT ASSOCIATES INC.,,,85231856.63000001
SUNOCO  LLC,,,84810413.21000001
WORNICK COMPANY  THE,,,84770000.0
HARRIS CORPORATION,,,84295664.01
THE CNA CORPORATION,,,84016226.45
AIRBOSS DEFENSE GROUP LLC,,,83948266.01
STRUCTSURE PROJECTS INC,,,83773992.32
JACOBS/B&V  A JOINT VENTURE (FEDERAL SERVICES),,,82964540.0
AVON PROTECTION CERADYNE LLC,,,82957400.0
VENDTECH-SGI LLC,,,82776831.52000001
UNIVERSAL TECHNICAL RESOURCE SERVICES INC,,,82461295.6
WSP USA SOLUTIONS INC,,,82294871.89999999
TYTO ATHENE  LLC,,,82033136.03999999
ULTRA ELECTRONICS OCEAN SYSTEMS INC.,,,81881787.86
WSP USA SERVICES INC.,,,81494700.99000001
GROVE RESOURCE SOLUTIONS  INC.,,,81413155.46
ROCKWELL COLLINS SIMULATION & TRAINING SOLUTIONS LLC,,,81396970.0
NORFOLK DREDGING COMPANY,,,81224700.65
DZSP 21 LLC,,,81219899.47999999
INMARSAT GOVERNMENT  INC.,,,80613801.79
DAI GLOBAL LLC,,,79913609.0
LUHR CROSBY  LLC,,,79534473.5
INTERSTATE ELECTRONICS CORPORATION,,,78874046.4
GEO GROUP  INC.  THE,,,78797168.0
WOOLPERT  INC.,,,78656592.94000001
VALIANT INTEGRATED SERVICES LLC,,,77884759.0
ARBOR E & T LLC,,,77738913.67999999
VERISK ANALYTICS  INC.,,,77693413.32
VMD SYSTEMS INTEGRATORS  LLC,,,77516920.0
THE INTERPUBLIC GROUP OF COMPANIES INC,,,77483117.69999999
ARIZONA STATE UNIVERSITY,,,77212659.0
TRUE NORTH COMMUNICATIONS INC,,,77060488.0
FACILITY SERVICES MANAGEMENT  INC.,,,76818540.17999999
WESTON SOLUTIONS  INC.,,,76546763.39
DAY & ZIMMERMANN LONE STAR LLC,,,76269565.96000001
SEV1TECH  LLC,,,76036334.22
ACACIA CENTER FOR JUSTICE,,,75757312.4
AMERIQUAL GROUP HOLDINGS LLC,,,75695249.4
XEROX CORPORATION,,,75632463.36
HP ENTERPRISE SERVICES  LLC,,,74918168.38
HII TECHNICAL SOLUTIONS CORPORATION,,,74822888.9
STANDARD AERO (SAN ANTONIO) INC.,,,74792106.85
HEWLETT PACKARD ENTERPRISE COMPANY,,,74218646.03999999
CUBIC DEFENSE APPLICATIONS  INC.,,,74122246.82999998
DISMAS CHARITIES INC,,,74052979.82
STARKEY LABORATORIES  INC.,,,74001956.19999999
SYSTEMS TECHNOLOGY FORUM  LTD.,,,73901200.81
VALIDATEK INC,,,73061132.31
DUKE UNIVERSITY,,,72534746.16
HEALTH NET FEDERAL SERVICES  LLC,,,71739436.42
STANTEC CONSULTING SERVICES INC.,,,71731182.00000001
SMITHGROUP  INC.,,,71188069.07
VERTEX MODERNIZATION AND SUSTAINMENT LLC,,,71161945.0
