ID,Title,Agency,NAICS,NAICS_Description,Value_Low,Value_High,Set_Aside,Competition_Level,Why_Low_Competition,Key_Primes,Prime_Contacts,Action_Steps,Deadline_Type,Industry_Category
27,Language Translation Services,DHS,541930,Translation Services,10000000,35000000,8(a),Low,8(a) set-aside with rare language requirements,"Leidos,CACI,SOS International",sbcomp@leidos.com,Contact DHS OSDBU,Ongoing,Professional Services
28,Security Guard Services,GSA FPS,561612,Security Guards Services,20000000,60000000,Small Business,Low,FPS certification and clearance requirements,"Allied Universal,Securitas,G4S",supplier.diversity@aus.com,Register with FPS directly,Ongoing,Security
29,Janitorial Services,GSA PBS,561720,Janitorial Services,10000000,30000000,8(a),Low,8(a) set-aside with geographic requirements,"ABM Industries,ISS,Marsden Holding",supplier.diversity@abm.com,Contact GSA PBS regional office,Ongoing,Facilities
30,Grounds Maintenance,National Parks,561730,Landscaping Services,5000000,20000000,Small Business,Low,Geographic limitation to specific parks,"BrightView,Davey Tree,Yellowstone Landscape",supplier.diversity@brightview.com,Contact NPS regional offices,Seasonal,Facilities
31,Food Services,DoD Dining,722310,Food Service Contractors,15000000,50000000,Small Business,Low,Health certifications and facility requirements,"Sodexo,Aramark,Compass Group",supplier.diversity@sodexo.com,Contact Defense Commissary Agency,Ongoing,Food Services
32,Telecommunications Services,DISA,517110,Telecommunications Carriers,30000000,100000000,Small Business,Low,FedRAMP and DISA certification requirements,"AT&T,Verizon,Lumen",supplier.diversity@att.com,Register in DISA marketplace,Q4 Spending,IT/Cybersecurity
33,Satellite Communications,Space Force,517410,Satellite Telecommunications,25000000,80000000,Small Business,Low,Space-related certifications limit competition,"Lockheed Martin,Northrop Grumman,L3Harris",sefnee.a.manzanares@lmco.com,Contact Space Force OSBP,Ongoing,IT/Cybersecurity
34,Aircraft Maintenance,Air Force,488190,Aircraft Maintenance,30000000,90000000,Small Business,Low,FAA certifications and security clearances required,"Boeing,Lockheed Martin,Northrop Grumman",small.business@boeing.com,Contact Air Force Sustainment Center,Ongoing,Aviation
35,Drone Systems Support,Army Aviation,336411,Aircraft Manufacturing,20000000,60000000,Small Business,Low,UAS expertise and clearance requirements,"General Atomics,Northrop Grumman,L3Harris",smallbusiness@ga.com,Register in Army Aviation portal,Q4 Spending,Aviation
36,Vehicle Fleet Management,GSA Fleet,811111,Automotive Repair,15000000,45000000,Small Business,Low,GSA Schedule and fleet size requirements,"Enterprise,Hertz,Element Fleet",supplier.diversity@enterprise.com,Apply for GSA Schedule 751,Ongoing,Automotive
37,Heavy Equipment Maintenance,Army Materiel,811310,Equipment Repair,20000000,60000000,8(a),Low,8(a) set-aside with specialized equipment training,"Caterpillar,John Deere,PACCAR",supplierdiversity@cat.com,Contact Army Materiel Command,Ongoing,Manufacturing
38,Weapons Systems Support,DoD,332994,Small Arms Manufacturing,25000000,75000000,Small Business,Low,ITAR compliance and security clearances required,General Dynamics,supplierdiversity@gd.com,Register in DoD weapons systems database,Ongoing,Manufacturing
39,Ammunition Production,Army Ordnance,332993,Ammunition Manufacturing,30000000,100000000,Small Business,Low,ATF licensing and specialized facility requirements,"Olin Corporation,Vista Outdoor,Northrop Grumman",supplierdiversity@olin.com,Contact Army Contracting Command,Ongoing,Manufacturing
40,Textile & Uniform Production,DLA Troop Support,315210,Apparel Manufacturing,15000000,50000000,Small Business,Low,Berry Amendment compliance requirements,"VF Corporation,Cintas,UniFirst",supplierdiversity@vfc.com,Register in DLA FedMall,Ongoing,Manufacturing
41,Food Processing,DLA Troop Support,311999,Food Manufacturing,20000000,70000000,Small Business,Low,FDA certifications and military specifications,"Tyson Foods,Sysco,US Foods",supplierdiversity@tyson.com,Contact DLA Troop Support,Ongoing,Food Services
42,Pharmaceutical Supply,VA Healthcare,325411,Pharmaceutical Manufacturing,25000000,80000000,SDVOSB,Low,SDVOSB set-aside with FDA requirements,"McKesson,Cardinal Health,AmerisourceBergen",supplierdiversity@mckesson.com,Register in VA pharmaceutical portal,Ongoing,Healthcare
43,Medical Supplies Distribution,DHA,423450,Medical Equipment Wholesale,15000000,50000000,Small Business,Low,Medical distribution certifications required,"Henry Schein,Medline,Owens & Minor",supplierdiversity@henryschein.com,Contact DHA supply chain,Ongoing,Healthcare
44,Office Supplies,GSA,424120,Office Supplies Wholesale,10000000,30000000,Small Business,Low,GSA Schedule and volume requirements,"Staples,Office Depot,W.B. Mason",supplier.diversity@staples.com,Apply for GSA Schedule 75,Ongoing,General Supplies
45,Furniture Manufacturing,GSA,337211,Office Furniture Manufacturing,10000000,35000000,Small Business,Low,GSA Schedule and AbilityOne requirements,"Steelcase,Herman Miller,Haworth",supplierdiversity@steelcase.com,Apply for GSA Schedule 71,Ongoing,Manufacturing
46,IT Hardware Supply,GSA IT,423430,Computer Equipment Wholesale,20000000,70000000,Small Business,Low,GSA Schedule and TAA compliance requirements,"Dell,HP,Lenovo","supplier.diversity@dell.com,supplierdiversity@hp.com",Apply for GSA IT Schedule 70,Ongoing,IT/Cybersecurity
47,Software Licensing,GSA IT,511210,Software Publishers,15000000,50000000,Small Business,Low,GSA Schedule and FedRAMP requirements,"Microsoft,Oracle,SAP","mspartner@microsoft.com,supplierdiversity@oracle.com",Apply for GSA IT Schedule 70,Ongoing,IT/Cybersecurity
48,Cloud Hosting Services,FedRAMP,518210,Data Processing Services,25000000,90000000,Small Business,Low,FedRAMP authorization significantly limits competition,"AWS,Microsoft Azure,Google Cloud",aws-publicsector-sblo@amazon.com,Obtain FedRAMP authorization first,Ongoing,IT/Cybersecurity
49,Managed Security Services,CISA,561621,Security Systems Services,20000000,65000000,Small Business,Low,SOC certifications and clearance requirements,"Secureworks,CrowdStrike,Palo Alto",partner@secureworks.com,Contact CISA directly,Q4 Spending,IT/Cybersecurity
50,Penetration Testing Services,DoD,541512,Computer Systems Design Services,5000000,20000000,Small Business,Low,Specialized offensive security certifications,"Booz Allen Hamilton,Mandiant,Coalfire",smallbusinesscompliance@bah.com,Obtain CREST or OSCP certifications,Ongoing,IT/Cybersecurity
51,Identity Management Services,DoD,541512,Computer Systems Design Services,15000000,45000000,Small Business,Low,PIV/CAC integration expertise required,"Leidos,SAIC,Peraton",sbcomp@leidos.com,Contact DoD CIO office,Q4 Spending,IT/Cybersecurity
52,DevSecOps Implementation,Air Force,541511,Custom Computer Programming Services,20000000,60000000,Small Business,Low,Platform One experience preferred,"Boeing,Lockheed Martin,Raytheon",small.business@boeing.com,Register in Air Force Kessel Run,Ongoing,IT/Cybersecurity
53,Mobile Application Development,Army,541511,Custom Computer Programming Services,10000000,35000000,Small Business,Low,Army mobile platform requirements,"GDIT,Booz Allen Hamilton,CACI",smallbusiness@gdit.com,Contact Army Software Factory,Ongoing,IT/Cybersecurity
54,Blockchain Solutions,Treasury,541512,Computer Systems Design Services,10000000,30000000,Small Business,Low,Emerging technology with limited qualified vendors,"IBM,Accenture Federal,Deloitte",supplierdiversity@ibm.com,Contact Treasury OSDBU,Ongoing,IT/Cybersecurity
55,RPA Implementation,GSA,541512,Computer Systems Design Services,10000000,40000000,Small Business,Low,UiPath or Automation Anywhere certifications required,"Deloitte,Accenture Federal,CGI",supplierdiversity@cgi.com,Contact GSA TTS,Ongoing,IT/Cybersecurity
56,5G Network Implementation,DoD,517311,Wireless Telecommunications,30000000,100000000,Small Business,Low,5G expertise with defense applications limited,"AT&T,Verizon,T-Mobile",supplier.diversity@att.com,Contact DoD 5G office,Q4 Spending,IT/Cybersecurity
57,Quantum Computing Research,DOE,541715,R&D Physical Sciences,20000000,70000000,Small Business,Low,Quantum computing expertise extremely limited,"IBM,Google,IonQ",supplierdiversity@ibm.com,Apply for DOE SBIR quantum topics,Ongoing,R&D
58,Artificial Intelligence Training,DoD JAIC,611420,Computer Training,15000000,45000000,Small Business,Low,AI/ML curriculum development expertise,"Booz Allen Hamilton,Deloitte,SAIC",smallbusinesscompliance@bah.com,Contact JAIC directly,Ongoing,Professional Services
59,Geospatial Analysis Services,NGA,541370,Surveying Services,15000000,50000000,Small Business,Low,TS/SCI with poly requirement limits bidders,"Maxar,CACI,Leidos",smallbusiness@caci.com,Must have existing cleared personnel,Ongoing,Professional Services
60,Intelligence Analysis Support,DIA,541990,Other Professional Services,25000000,80000000,Small Business,Low,TS/SCI clearance and intelligence experience,"Booz Allen Hamilton,SAIC,ManTech",smallbusinesscompliance@bah.com,Contact DIA OSBP,Ongoing,Professional Services
61,Foreign Language Analysis,NSA,541930,Translation Services,20000000,60000000,Small Business,Low,Rare language skills with TS/SCI clearance,"Leidos,CACI,SOS International",sbcomp@leidos.com,Must have cleared linguists,Ongoing,Professional Services
62,Counterintelligence Support,FBI,541990,Other Professional Services,15000000,50000000,Small Business,Low,CI polygraph requirement severely limits competition,"Booz Allen Hamilton,SAIC,Peraton",smallbusinesscompliance@bah.com,Contact FBI OSDBU,Ongoing,Professional Services
63,Border Security Technology,CBP,541512,Computer Systems Design Services,20000000,70000000,Small Business,Low,Border technology expertise requirements,"Leidos,General Dynamics,L3Harris",sbcomp@leidos.com,Contact CBP OSDBU,Q4 Spending,IT/Cybersecurity
64,Maritime Domain Awareness,Coast Guard,541512,Computer Systems Design Services,15000000,45000000,Small Business,Low,Maritime systems integration experience,"Northrop Grumman,L3Harris,SAIC",small.business@northropgrumman.com,Contact USCG Acquisition,Ongoing,IT/Cybersecurity
65,Airport Security Systems,TSA,561621,Security Systems Services,20000000,60000000,Small Business,Low,TSA certification requirements,"Leidos,SAIC,Smiths Detection",sbcomp@leidos.com,Contact TSA OSDBU,Ongoing,Security
66,Disaster Response Support,FEMA,541990,Other Professional Services,15000000,50000000,8(a),Low,8(a) set-aside with rapid deployment requirements,"Vectrus,PAE,Fluor",supplier.diversity@fluor.com,Register in FEMA vendor database,Emergency,Professional Services
67,Emergency Communications,FEMA,517919,Other Telecommunications,10000000,35000000,Small Business,Low,IPAWS integration requirements,"Motorola,Harris,L3Harris",supplierdiversity@motorolasolutions.com,Contact FEMA IPAWS office,Ongoing,IT/Cybersecurity
68,Wildfire Management Support,Forest Service,115310,Forestry Services,15000000,45000000,Small Business,Low,Geographic and seasonal limitations,"Perimeter Solutions,BLM contractors",supplierdiversity@perimetersolutions.com,Contact Forest Service regional offices,Seasonal,Environmental
69,Weather Forecasting Systems,NOAA,541512,Computer Systems Design Services,15000000,50000000,Small Business,Low,Meteorological systems expertise limited,"Raytheon,L3Harris,SAIC",small.business@raytheon.com,Contact NOAA acquisitions,Ongoing,IT/Cybersecurity
70,Space Launch Services,NASA,336414,Spacecraft Manufacturing,50000000,200000000,Small Business,Low,Space launch capability extremely limited,"SpaceX,ULA,Rocket Lab",smallbusiness@spacex.com,Contact NASA Launch Services,Ongoing,Aviation
71,Satellite Manufacturing,Space Force,336414,Spacecraft Manufacturing,30000000,100000000,Small Business,Low,Space-grade manufacturing certifications,"Lockheed Martin,Northrop Grumman,Ball Aerospace",sefnee.a.manzanares@lmco.com,Contact Space Force SMC,Ongoing,Manufacturing
72,Rocket Propulsion,NASA,336415,Space Propulsion Manufacturing,25000000,80000000,Small Business,Low,Propulsion expertise extremely specialized,"Aerojet Rocketdyne,Blue Origin,SpaceX",supplierdiversity@rocket.com,Apply for NASA SBIR propulsion topics,Ongoing,Manufacturing
73,Ground Control Systems,Space Force,541512,Computer Systems Design Services,20000000,60000000,Small Business,Low,Space ground systems expertise limited,"Raytheon,Lockheed Martin,SAIC",small.business@raytheon.com,Contact Space Force OSBP,Ongoing,IT/Cybersecurity
74,Nuclear Facility Support,DOE NNSA,541990,Other Professional Services,30000000,100000000,Small Business,Low,Q clearance and nuclear expertise required,"Battelle,BWXT,Honeywell",small.business@battelle.org,Contact NNSA OSDBU,Ongoing,Energy
75,Power Grid Modernization,DOE,221122,Electric Distribution,25000000,80000000,Small Business,Low,Grid modernization expertise limited,"GE Grid Solutions,Siemens,ABB",supplierdiversity@ge.com,Contact DOE Office of Electricity,Q4 Spending,Energy
76,Renewable Energy Installation,DOE,237130,Power Line Construction,20000000,70000000,Small Business,Low,Renewable energy certifications required,"NextEra,Duke Energy,Dominion",supplierdiversity@nexteraenergy.com,Contact DOE EERE,Ongoing,Energy
77,Solar Panel Installation,GSA,238210,Electrical Contractors,10000000,35000000,Small Business,Low,NABCEP certification requirements,"SunPower,First Solar,SunRun",supplier.diversity@sunpower.com,Contact GSA PBS sustainability,Ongoing,Construction
78,Wind Turbine Maintenance,DOI BLM,811310,Equipment Repair,10000000,30000000,Small Business,Low,Wind turbine certifications limited,"GE Renewable,Vestas,Siemens Gamesa",supplierdiversity@ge.com,Contact BLM regional offices,Ongoing,Energy
79,Water Treatment Systems,EPA,221310,Water Treatment,15000000,50000000,Small Business,Low,EPA certifications and treatment expertise,"Veolia,Xylem,Evoqua",supplierdiversity@veolia.com,Contact EPA OSDBU,Ongoing,Environmental
80,Wastewater Management,Army Corps,221320,Sewage Treatment,15000000,45000000,Small Business,Low,Wastewater treatment certifications,"Veolia,AECOM,Jacobs",supplierdiversity@veolia.com,Contact Army Corps regional offices,Ongoing,Environmental
81,Hazardous Waste Disposal,DOE,562211,Hazardous Waste Disposal,20000000,60000000,8(a),Low,8(a) set-aside with RCRA certifications,"Clean Harbors,Stericycle,US Ecology",supplierdiversity@cleanharbors.com,Contact DOE EM office,Ongoing,Environmental
82,Air Quality Monitoring,EPA,541380,Testing Laboratories,10000000,35000000,Small Business,Low,EPA air monitoring certifications,"Teledyne,Thermo Fisher,Agilent",supplierdiversity@teledyne.com,Contact EPA air quality office,Ongoing,Environmental
83,Soil Remediation Services,Army Corps,562910,Environmental Remediation,15000000,50000000,8(a),Low,8(a) set-aside with remediation certifications,"AECOM,Jacobs,Tetra Tech",smallbusiness@aecom.com,Contact USACE environmental,Q4 Spending,Environmental
84,Wetlands Restoration,Fish & Wildlife,541620,Environmental Consulting,10000000,30000000,Small Business,Low,Wetlands expertise and geographic limitations,"AECOM,Stantec,Terracon",smallbusiness@aecom.com,Contact FWS regional offices,Seasonal,Environmental
85,Marine Biology Research,NOAA,541711,R&D Biotechnology,10000000,35000000,Small Business,Low,Marine biology expertise limited,"Battelle,SAIC,Leidos",small.business@battelle.org,Apply for NOAA SBIR topics,Ongoing,R&D
86,Agricultural Research,USDA,541711,R&D Biotechnology,15000000,45000000,Small Business,Low,Agricultural research expertise required,"Battelle,Monsanto/Bayer,Corteva",small.business@battelle.org,Apply for USDA SBIR topics,Ongoing,R&D
87,Forestry Management,Forest Service,115310,Forestry Services,10000000,30000000,Small Business,Low,Geographic limitations and seasonal work,"Davey Tree,Bartlett Tree,local contractors",supplierdiversity@davey.com,Contact Forest Service regional offices,Seasonal,Environmental
88,Parks Maintenance,National Parks,561730,Landscaping Services,10000000,30000000,Small Business,Low,Geographic limitations to specific parks,"BrightView,Davey Tree,local contractors",supplier.diversity@brightview.com,Contact NPS regional offices,Seasonal,Facilities
89,Historic Preservation,GSA PBS,541310,Architectural Services,10000000,35000000,Small Business,Low,Historic preservation certifications limited,"AECOM,Jacobs,SmithGroup",smallbusiness@aecom.com,Contact GSA PBS historic buildings,Ongoing,Engineering
90,Museum Services,Smithsonian,712110,Museums,5000000,20000000,Small Business,Low,Museum expertise with security requirements,"AECOM,Gallagher,EventPower",smallbusiness@aecom.com,Contact Smithsonian OSDBU,Ongoing,Professional Services
91,Library Systems,LOC,519120,Libraries,10000000,30000000,Small Business,Low,Library science expertise required,"OCLC,SirsiDynix,Ex Libris",supplierdiversity@oclc.org,Contact Library of Congress,Ongoing,IT/Cybersecurity
92,Document Digitization,NARA,518210,Data Processing Services,10000000,35000000,Small Business,Low,Large-scale digitization expertise,"Iron Mountain,Recall,Access",supplierdiversity@ironmountain.com,Contact NARA OSDBU,Ongoing,IT/Cybersecurity
93,Records Management,GSA,519190,Information Services,10000000,30000000,Small Business,Low,Federal records management certifications,"Iron Mountain,Access,Recall",supplierdiversity@ironmountain.com,Contact GSA FAS,Ongoing,Professional Services
94,Mailroom Services,USPS,491110,Postal Services,10000000,35000000,Small Business,Low,Mail handling certifications required,"Pitney Bowes,Quadient,FP Mailing",supplierdiversity@pb.com,Contact USPS Supply Management,Ongoing,Logistics
95,Printing Services,GPO,323111,Commercial Printing,10000000,30000000,Small Business,Low,GPO certification requirements,"RR Donnelley,Quad Graphics,LSC",supplierdiversity@rrd.com,Contact GPO OSDBU,Ongoing,Manufacturing
96,Publication Distribution,GPO,424920,Book Wholesalers,5000000,15000000,Small Business,Low,Distribution network requirements,"Ingram,Baker & Taylor,Brodart",supplierdiversity@ingramcontent.com,Contact GPO distribution,Ongoing,Logistics
97,Video Production Services,DoD,512110,Video Production,5000000,20000000,Small Business,Low,Security clearance for military content,"CACI,ManTech,SAIC",smallbusiness@caci.com,Contact DoD Visual Information,Ongoing,Professional Services
98,Photography Services,DoD,541921,Photography Services,2000000,10000000,Small Business,Low,Security clearance requirements,"CACI,ManTech,local contractors",smallbusiness@caci.com,Contact DoD Visual Information,Ongoing,Professional Services
99,Public Affairs Support,DoD,541820,Public Relations,10000000,35000000,Small Business,Low,Military PA experience required,"CACI,GDIT,Weber Shandwick",smallbusiness@caci.com,Contact DoD PA office,Ongoing,Professional Services
100,Social Media Management,GSA,541820,Public Relations,5000000,15000000,Small Business,Low,Federal social media certifications,"GDIT,ICF,Deloitte",smallbusiness@gdit.com,Contact GSA digital services,Ongoing,Professional Services
101,Call Center Services,SSA,561422,Telemarketing Services,15000000,50000000,Small Business,Low,Federal call center certifications required,"Maximus,TTEC,Conduent",supplierdiversity@maximus.com,Contact SSA OSDBU,Ongoing,Professional Services
102,Customer Service Support,IRS,561422,Telemarketing Services,20000000,60000000,Small Business,Low,Tax expertise and clearance requirements,"Maximus,GDIT,CGI",supplierdiversity@maximus.com,Contact IRS OSDBU,Q4 Spending,Professional Services
103,Benefits Processing,OPM,524292,Third Party Administration,15000000,50000000,Small Business,Low,Federal benefits expertise limited,"Maximus,CGI,GDIT",supplierdiversity@maximus.com,Contact OPM OSDBU,Ongoing,Professional Services
104,Claims Processing,VA,524292,Third Party Administration,20000000,70000000,SDVOSB,Low,SDVOSB set-aside with VA claims expertise,"Maximus,GDIT,ICF",supplierdiversity@maximus.com,Register in VA VetBiz,Ongoing,Professional Services
105,Financial Management Systems,Treasury,541219,Accounting Services,20000000,65000000,Small Business,Low,Federal financial system certifications,"Deloitte,KPMG,CGI",supplierdiversity@deloitte.com,Contact Treasury OSDBU,Ongoing,Professional Services
106,Audit Support Services,GAO,541211,Audit Services,15000000,45000000,Small Business,Low,Federal audit experience required,"Deloitte,KPMG,Grant Thornton",supplierdiversity@deloitte.com,Contact GAO OSDBU,Ongoing,Professional Services
107,Budget Analysis Support,OMB,541611,Management Consulting,15000000,50000000,Small Business,Low,Federal budget expertise limited,"Deloitte,McKinsey,BCG",supplierdiversity@deloitte.com,Contact OMB OSDBU,Ongoing,Professional Services
108,Program Evaluation,Multiple,541611,Management Consulting,10000000,40000000,Small Business,Low,Federal evaluation methodologies required,"Mathematica,Abt Associates,Westat",supplierdiversity@mathematica.org,Contact agency evaluation offices,Ongoing,Professional Services
109,Statistical Analysis,Census,541910,Market Research,15000000,50000000,Small Business,Low,Statistical expertise with census data,"Westat,RTI,NORC",supplierdiversity@westat.com,Contact Census OSDBU,Ongoing,Professional Services
110,Survey Research,Multiple,541910,Market Research,10000000,35000000,Small Business,Low,Federal survey methodology expertise,"Gallup,Ipsos,Westat",supplierdiversity@gallup.com,Contact agency research offices,Ongoing,Professional Services
111,Economic Analysis,Commerce,541720,Economics Research,10000000,35000000,Small Business,Low,Economic modeling expertise limited,"Mathematica,RAND,Urban Institute",supplierdiversity@mathematica.org,Contact Commerce OSDBU,Ongoing,R&D
112,Policy Research,Multiple,541720,Economics Research,10000000,40000000,Small Business,Low,Policy analysis expertise required,"RAND,Brookings,Urban Institute",supplierdiversity@rand.org,Contact agency policy offices,Ongoing,R&D
113,Legal Support Services,DOJ,541110,Legal Services,15000000,50000000,Small Business,Low,Federal litigation support experience,"LexisNexis,Thomson Reuters,CACI",supplierdiversity@lexisnexis.com,Contact DOJ OSDBU,Ongoing,Professional Services
114,Paralegal Services,Multiple,541110,Legal Services,10000000,30000000,Small Business,Low,Federal paralegal certifications,"CACI,ManTech,SAIC",smallbusiness@caci.com,Contact agency legal offices,Ongoing,Professional Services
115,Patent Research,USPTO,541110,Legal Services,10000000,30000000,Small Business,Low,Patent search expertise required,"Clarivate,LexisNexis,CPA Global",supplierdiversity@clarivate.com,Contact USPTO OSDBU,Ongoing,Professional Services
