rank,company,contract_value,contract_count,naics,agencies,sblo_name,email,phone,website,email_patterns,research_status,research_notes
1,PANTEXAS DETERRENCE  LLC,"$30,103,600,000",1,561210,"ENERGY, DEPARTMENT OF",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.pantexasdeterrence.com,smallbusiness@pantexasdeterrence.com; sblo@pantexasdeterrence.com; small.business@pantexasdeterrence.com; supplier.diversity@pantexasdeterrence.com; osdbu@pantexasdeterrence.com; procurement@pantexasdeterrence.com,PENDING,
12,DELOITTE CONSULTING LLP,"$6,570,100,703",145,"518210, 541219, 541330, 541512, 541519, 541611, 541612, 541618, 541690, 541715","ADMINISTRATION FOR STRATEGIC PREPAREDNESS AND RESPONSE, AGENCY FOR INTERNATIONAL DEVELOPMENT, CENTER",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.deloitteconsultingllp.com,smallbusiness@deloitteconsultingllp.com; sblo@deloitteconsultingllp.com; small.business@deloitteconsultingllp.com; supplier.diversity@deloitteconsultingllp.com; osdbu@deloitteconsultingllp.com; procurement@deloitteconsultingllp.com,PENDING,
13,GENERAL ATOMIC TECHNOLOGIES CORPORATION,"$5,638,295,237",79,"334511, 336411, 336413, 541614, 541715, 561990","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA), DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.generalatomictechnologies.com,smallbusiness@generalatomictechnologies.com; sblo@generalatomictechnologies.com; small.business@generalatomictechnologies.com; supplier.diversity@generalatomictechnologies.com; osdbu@generalatomictechnologies.com; procurement@generalatomictechnologies.com,PENDING,
14,GENERAL DYNAMICS INFORMATION TECHNOLOGY  INC.,"$5,290,596,546",166,"333318, 336611, 518210, 541330, 541511, 541512, 541513, 541519, 541611, 541613","ADMINISTRATION FOR CHILDREN AND FAMILIES, CENTERS FOR DISEASE CONTROL AND PREVENTION, CENTERS FOR ME",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.generaldynamicsinformationtechnologyinc.com,smallbusiness@generaldynamicsinformationtechnologyinc.com; sblo@generaldynamicsinformationtechnologyinc.com; small.business@generaldynamicsinformationtechnologyinc.com; supplier.diversity@generaldynamicsinformationtechnologyinc.com; osdbu@generaldynamicsinformationtechnologyinc.com; procurement@generaldynamicsinformationtechnologyinc.com,PENDING,
15,TRIAD NATIONAL SECURITY  LLC,"$5,216,885,256",2,561210,"ENERGY, DEPARTMENT OF",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.triadnationalsecurity.com,smallbusiness@triadnationalsecurity.com; sblo@triadnationalsecurity.com; small.business@triadnationalsecurity.com; supplier.diversity@triadnationalsecurity.com; osdbu@triadnationalsecurity.com; procurement@triadnationalsecurity.com,PENDING,
16,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,"$5,125,092,305",248,"332994, 334220, 334418, 334511, 335999, 488111, 518210, 541199, 541330, 541512","ATF ACQUISITION AND PROPERTY MGMT DIV, DEFENSE LOGISTICS AGENCY, DEFENSE THREAT REDUCTION AGENCY (DT",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.scienceapplicationsinternational.com,smallbusiness@scienceapplicationsinternational.com; sblo@scienceapplicationsinternational.com; small.business@scienceapplicationsinternational.com; supplier.diversity@scienceapplicationsinternational.com; osdbu@scienceapplicationsinternational.com; procurement@scienceapplicationsinternational.com,PENDING,
17,LEIDOS  INC.,"$5,120,045,709",305,"334111, 334210, 334290, 334511, 541199, 541330, 541370, 541511, 541512, 541513","ATF ACQUISITION AND PROPERTY MGMT DIV, CENTERS FOR MEDICARE AND MEDICAID SERVICES, DEFENSE HEALTH AG",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.leidosinc.com,smallbusiness@leidosinc.com; sblo@leidosinc.com; small.business@leidosinc.com; supplier.diversity@leidosinc.com; osdbu@leidosinc.com; procurement@leidosinc.com,PENDING,
18,INTUITIVE MACHINES  LLC,"$4,820,000,000",1,517410,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.intuitivemachines.com,smallbusiness@intuitivemachines.com; sblo@intuitivemachines.com; small.business@intuitivemachines.com; supplier.diversity@intuitivemachines.com; osdbu@intuitivemachines.com; procurement@intuitivemachines.com,PENDING,
19,LOCKHEED MARTIN CORPORATION,"$4,519,747,643",87,"332993, 334511, 336411, 336413, 336414, 336419, 336611, 541330, 541511, 541512","DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY, FEDERAL ACQUISITION SERVICE, MISSILE DEFE",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.lockheedmartin.com,smallbusiness@lockheedmartin.com; sblo@lockheedmartin.com; small.business@lockheedmartin.com; supplier.diversity@lockheedmartin.com; osdbu@lockheedmartin.com; procurement@lockheedmartin.com,PENDING,
20,VERTEX AEROSPACE LLC,"$4,313,213,898",22,"336411, 488190, 541330","DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA), DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.vertexaerospace.com,smallbusiness@vertexaerospace.com; sblo@vertexaerospace.com; small.business@vertexaerospace.com; supplier.diversity@vertexaerospace.com; osdbu@vertexaerospace.com; procurement@vertexaerospace.com,PENDING,
21,HONEYWELL INTERNATIONAL INC.,"$4,067,873,163",124,"236220, 333242, 333413, 333611, 334290, 334511, 336310, 336320, 336390, 336411","BUREAU OF ENGRAVING AND PRINTING, DEFENSE LOGISTICS AGENCY, DEPT OF THE AIR FORCE, DEPT OF THE ARMY,",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.honeywellinternationalinc.com,smallbusiness@honeywellinternationalinc.com; sblo@honeywellinternationalinc.com; small.business@honeywellinternationalinc.com; supplier.diversity@honeywellinternationalinc.com; osdbu@honeywellinternationalinc.com; procurement@honeywellinternationalinc.com,PENDING,
22,ACCENTURE FEDERAL SERVICES LLC,"$3,916,762,889",96,"332993, 511210, 513210, 518210, 541511, 541512, 541519, 541611, 541612, 541613","CENTERS FOR MEDICARE AND MEDICAID SERVICES, CONSUMER FINANCIAL PROTECTION BUREAU, DEFENSE LOGISTICS ",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.accenturefederalservices.com,smallbusiness@accenturefederalservices.com; sblo@accenturefederalservices.com; small.business@accenturefederalservices.com; supplier.diversity@accenturefederalservices.com; osdbu@accenturefederalservices.com; procurement@accenturefederalservices.com,PENDING,
23,BEYOND NEW HORIZONS  LLC,"$3,788,828,058",2,541330,DEPT OF THE AIR FORCE,[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.beyondnewhorizons.com,smallbusiness@beyondnewhorizons.com; sblo@beyondnewhorizons.com; small.business@beyondnewhorizons.com; supplier.diversity@beyondnewhorizons.com; osdbu@beyondnewhorizons.com; procurement@beyondnewhorizons.com,PENDING,
24,LOCKHEED MARTIN CORP,"$3,438,185,262",15,"332993, 336411, 336413, 336414, 541712, 541713, 541715","DEPARTMENTAL OFFICES, DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY, NATIONAL AERONAUTIC",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.lockheedmartin.com,smallbusiness@lockheedmartin.com; sblo@lockheedmartin.com; small.business@lockheedmartin.com; supplier.diversity@lockheedmartin.com; osdbu@lockheedmartin.com; procurement@lockheedmartin.com,PENDING,
25,SMARTRONIX  LLC,"$3,437,888,078",12,"541330, 541512, 541990","DEPT OF THE NAVY, FEDERAL ACQUISITION SERVICE",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.smartronix.com,smallbusiness@smartronix.com; sblo@smartronix.com; small.business@smartronix.com; supplier.diversity@smartronix.com; osdbu@smartronix.com; procurement@smartronix.com,PENDING,
26,SPACE EXPLORATION TECHNOLOGIES CORP.,"$3,428,134,460",34,"336414, 481212, 517410, 541330, 541715","DEFENSE INFORMATION SYSTEMS AGENCY (DISA), DEPT OF THE AIR FORCE, NATIONAL AERONAUTICS AND SPACE ADM",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.spaceexplorationtechnologiescorp.com,smallbusiness@spaceexplorationtechnologiescorp.com; sblo@spaceexplorationtechnologiescorp.com; small.business@spaceexplorationtechnologiescorp.com; supplier.diversity@spaceexplorationtechnologiescorp.com; osdbu@spaceexplorationtechnologiescorp.com; procurement@spaceexplorationtechnologiescorp.com,PENDING,
27,SAN ANTONIO FAMILY ENDEAVORS  INC.,"$3,329,900,357",1,561210,DEPARTMENTAL OFFICES,[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.sanantoniofamilyendeavorsinc.com,smallbusiness@sanantoniofamilyendeavorsinc.com; sblo@sanantoniofamilyendeavorsinc.com; small.business@sanantoniofamilyendeavorsinc.com; supplier.diversity@sanantoniofamilyendeavorsinc.com; osdbu@sanantoniofamilyendeavorsinc.com; procurement@sanantoniofamilyendeavorsinc.com,PENDING,
28,HII MISSION TECHNOLOGIES CORP,"$3,050,209,031",7,"334511, 336413, 541330, 541511, 541715, 541990","DEPARTMENTAL OFFICES, DEPT OF THE AIR FORCE, DEPT OF THE NAVY, FEDERAL ACQUISITION SERVICE",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.hiimissiontechnologies.com,smallbusiness@hiimissiontechnologies.com; sblo@hiimissiontechnologies.com; small.business@hiimissiontechnologies.com; supplier.diversity@hiimissiontechnologies.com; osdbu@hiimissiontechnologies.com; procurement@hiimissiontechnologies.com,PENDING,
29,RAYTHEON COMPANY,"$2,978,919,610",85,"332993, 333612, 334220, 334511, 336413, 336414, 336419, 541330, 541511, 541512","DEFENSE LOGISTICS AGENCY, DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY, FEDERAL ACQUISI",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.raytheoncompany.com,smallbusiness@raytheoncompany.com; sblo@raytheoncompany.com; small.business@raytheoncompany.com; supplier.diversity@raytheoncompany.com; osdbu@raytheoncompany.com; procurement@raytheoncompany.com,PENDING,
30,PERATON CORP.,"$2,971,989,197",16,"334290, 541330, 541511, 541512, 541519","DEFENSE FINANCE AND ACCOUNTING SERVICE (DFAS), DEFENSE LOGISTICS AGENCY, DEPT OF THE AIR FORCE, DEPT",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.peratoncorp.com,smallbusiness@peratoncorp.com; sblo@peratoncorp.com; small.business@peratoncorp.com; supplier.diversity@peratoncorp.com; osdbu@peratoncorp.com; procurement@peratoncorp.com,PENDING,
31,THALLE CONSTRUCTION CO INC.,"$2,903,365,914",4,"237110, 237990","BUREAU OF RECLAMATION, DEPT OF THE ARMY",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.thalleconstructioncoinc.com,smallbusiness@thalleconstructioncoinc.com; sblo@thalleconstructioncoinc.com; small.business@thalleconstructioncoinc.com; supplier.diversity@thalleconstructioncoinc.com; osdbu@thalleconstructioncoinc.com; procurement@thalleconstructioncoinc.com,PENDING,
32,HUNTINGTON INGALLS INDUSTRIES  INC.,"$2,877,924,806",91,"332510, 336611, 488390, 541330, 811219, 811310","DEPT OF THE ARMY, DEPT OF THE NAVY",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.huntingtoningallsindustriesinc.com,smallbusiness@huntingtoningallsindustriesinc.com; sblo@huntingtoningallsindustriesinc.com; small.business@huntingtoningallsindustriesinc.com; supplier.diversity@huntingtoningallsindustriesinc.com; osdbu@huntingtoningallsindustriesinc.com; procurement@huntingtoningallsindustriesinc.com,PENDING,
33,JOHNS HOPKINS UNIVERSITY,"$2,816,866,089",288,"541512, 541690, 541712, 541714, 541715, 541990","ADMINISTRATION FOR STRATEGIC PREPAREDNESS AND RESPONSE, CENTERS FOR DISEASE CONTROL AND PREVENTION, ",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.johnshopkinsuniversity.com,smallbusiness@johnshopkinsuniversity.com; sblo@johnshopkinsuniversity.com; small.business@johnshopkinsuniversity.com; supplier.diversity@johnshopkinsuniversity.com; osdbu@johnshopkinsuniversity.com; procurement@johnshopkinsuniversity.com,PENDING,
34,BAE SYSTEMS LAND & ARMAMENTS L.P.,"$2,712,833,732",43,"332994, 332999, 336211, 336611, 336992, 541330","DEPT OF THE ARMY, DEPT OF THE NAVY",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.baesystemslandarmamentslp.com,smallbusiness@baesystemslandarmamentslp.com; sblo@baesystemslandarmamentslp.com; small.business@baesystemslandarmamentslp.com; supplier.diversity@baesystemslandarmamentslp.com; osdbu@baesystemslandarmamentslp.com; procurement@baesystemslandarmamentslp.com,PENDING,
35,SALIENT CRGT  INC.,"$2,673,668,217",10,"541330, 541512, 541611","AGENCY FOR INTERNATIONAL DEVELOPMENT, DEPT OF THE AIR FORCE, DEPT OF THE NAVY, FEDERAL ACQUISITION S",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.salientcrgtinc.com,smallbusiness@salientcrgtinc.com; sblo@salientcrgtinc.com; small.business@salientcrgtinc.com; supplier.diversity@salientcrgtinc.com; osdbu@salientcrgtinc.com; procurement@salientcrgtinc.com,PENDING,
36,BECHTEL PLANT MACHINERY  INC.,"$2,308,047,737",6,332410,DEPT OF THE NAVY,[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.bechtelplantmachineryinc.com,smallbusiness@bechtelplantmachineryinc.com; sblo@bechtelplantmachineryinc.com; small.business@bechtelplantmachineryinc.com; supplier.diversity@bechtelplantmachineryinc.com; osdbu@bechtelplantmachineryinc.com; procurement@bechtelplantmachineryinc.com,PENDING,
37,NORTHROP GRUMMAN CORPORATION,"$2,271,796,813",73,"332993, 332994, 333998, 334220, 334511, 334515, 336411, 336413, 336414, 541330","CENTERS FOR MEDICARE AND MEDICAID SERVICES, DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA), DEFE",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.northropgrumman.com,smallbusiness@northropgrumman.com; sblo@northropgrumman.com; small.business@northropgrumman.com; supplier.diversity@northropgrumman.com; osdbu@northropgrumman.com; procurement@northropgrumman.com,PENDING,
38,TECHFLOW  INC.,"$2,157,348,169",1,811210,TRANSPORTATION SECURITY ADMINISTRATION,[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.techflowinc.com,smallbusiness@techflowinc.com; sblo@techflowinc.com; small.business@techflowinc.com; supplier.diversity@techflowinc.com; osdbu@techflowinc.com; procurement@techflowinc.com,PENDING,
39,KBR WYLE SERVICES  LLC,"$2,121,041,705",85,"488190, 518210, 541330, 541511, 541513, 541690, 541715, 561210, 611512, 811219","DEPT OF THE AIR FORCE, DEPT OF THE NAVY, FEDERAL ACQUISITION SERVICE, NATIONAL AERONAUTICS AND SPACE",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.kbrwyleservices.com,smallbusiness@kbrwyleservices.com; sblo@kbrwyleservices.com; small.business@kbrwyleservices.com; supplier.diversity@kbrwyleservices.com; osdbu@kbrwyleservices.com; procurement@kbrwyleservices.com,PENDING,
40,AMENTUM GOVERNMENT SERVICES HOLDINGS LLC,"$1,999,225,539",83,"334511, 336411, 336611, 488190, 493110, 541310, 541330, 541512, 541513, 541519","AGENCY FOR INTERNATIONAL DEVELOPMENT, DEFENSE INFORMATION SYSTEMS AGENCY (DISA), DEFENSE LOGISTICS A",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.amentumgovernmentservicesholdings.com,smallbusiness@amentumgovernmentservicesholdings.com; sblo@amentumgovernmentservicesholdings.com; small.business@amentumgovernmentservicesholdings.com; supplier.diversity@amentumgovernmentservicesholdings.com; osdbu@amentumgovernmentservicesholdings.com; procurement@amentumgovernmentservicesholdings.com,PENDING,
41,L3HARRIS TECHNOLOGIES  INC.,"$1,992,158,813",132,"333310, 333314, 334111, 334220, 334290, 334419, 334511, 334513, 334517, 335999","DEFENSE INFORMATION SYSTEMS AGENCY (DISA), DEFENSE LOGISTICS AGENCY, DEFENSE THREAT REDUCTION AGENCY",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.l3harristechnologiesinc.com,smallbusiness@l3harristechnologiesinc.com; sblo@l3harristechnologiesinc.com; small.business@l3harristechnologiesinc.com; supplier.diversity@l3harristechnologiesinc.com; osdbu@l3harristechnologiesinc.com; procurement@l3harristechnologiesinc.com,PENDING,
42,MANTECH INTERNATIONAL CORPORATION,"$1,980,820,023",32,"334511, 541330, 541511, 541512, 541519, 541690, 541715, 541990","BUREAU OF THE FISCAL SERVICE, DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA), DEFENSE HEALTH AGE",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.mantechinternational.com,smallbusiness@mantechinternational.com; sblo@mantechinternational.com; small.business@mantechinternational.com; supplier.diversity@mantechinternational.com; osdbu@mantechinternational.com; procurement@mantechinternational.com,PENDING,
43,CALIFORNIA INSTITUTE OF TECHNOLOGY,"$1,977,598,972",111,541715,"DEPT OF THE NAVY, NATIONAL AERONAUTICS AND SPACE ADMINISTRATION",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.californiainstituteoftechnology.com,smallbusiness@californiainstituteoftechnology.com; sblo@californiainstituteoftechnology.com; small.business@californiainstituteoftechnology.com; supplier.diversity@californiainstituteoftechnology.com; osdbu@californiainstituteoftechnology.com; procurement@californiainstituteoftechnology.com,PENDING,
44,RAYTHEON/LOCKHEED MARTIN JAVELIN JV,"$1,922,094,922",8,"336414, 541330",DEPT OF THE ARMY,[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.raytheonlockheedmartinjavelinjv.com,smallbusiness@raytheonlockheedmartinjavelinjv.com; sblo@raytheonlockheedmartinjavelinjv.com; small.business@raytheonlockheedmartinjavelinjv.com; supplier.diversity@raytheonlockheedmartinjavelinjv.com; osdbu@raytheonlockheedmartinjavelinjv.com; procurement@raytheonlockheedmartinjavelinjv.com,PENDING,
45,AM GENERAL LLC,"$1,786,267,768",40,"326211, 333618, 336211, 336212, 336214, 336350, 336992, 541330","DEFENSE LOGISTICS AGENCY, DEPT OF THE ARMY",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.amgeneral.com,smallbusiness@amgeneral.com; sblo@amgeneral.com; small.business@amgeneral.com; supplier.diversity@amgeneral.com; osdbu@amgeneral.com; procurement@amgeneral.com,PENDING,
46,RAYTHEON TECHNOLOGIES CORPORATION,"$1,779,497,841",132,"314999, 332722, 332919, 333999, 334220, 335312, 336412, 336413, 488190, 541330","DEFENSE LOGISTICS AGENCY, DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY, NATIONAL AERONA",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.raytheontechnologies.com,smallbusiness@raytheontechnologies.com; sblo@raytheontechnologies.com; small.business@raytheontechnologies.com; supplier.diversity@raytheontechnologies.com; osdbu@raytheontechnologies.com; procurement@raytheontechnologies.com,PENDING,
47,QTC MEDICAL SERVICES INC,"$1,703,176,191",22,"621111, 621112","DEPT OF THE ARMY, OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION (ASA), VETERANS AFFAIRS, DEPA",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.qtcmedicalservices.com,smallbusiness@qtcmedicalservices.com; sblo@qtcmedicalservices.com; small.business@qtcmedicalservices.com; supplier.diversity@qtcmedicalservices.com; osdbu@qtcmedicalservices.com; procurement@qtcmedicalservices.com,PENDING,
48,THE MITRE CORPORATION,"$1,698,933,474",133,"541715, 541990","ADMINISTRATION FOR CHILDREN AND FAMILIES, ADMINISTRATION FOR STRATEGIC PREPAREDNESS AND RESPONSE, CE",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.themitre.com,smallbusiness@themitre.com; sblo@themitre.com; small.business@themitre.com; supplier.diversity@themitre.com; osdbu@themitre.com; procurement@themitre.com,PENDING,
49,CERNER CORPORATION,"$1,690,841,789",25,541512,"VETERANS AFFAIRS, DEPARTMENT OF",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.cerner.com,smallbusiness@cerner.com; sblo@cerner.com; small.business@cerner.com; supplier.diversity@cerner.com; osdbu@cerner.com; procurement@cerner.com,PENDING,
50,ALION SCIENCE AND TECHNOLOGY CORPORATION,"$1,631,620,204",16,"333318, 541715","DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY",[NEEDS RESEARCH],[NEEDS RESEARCH],[NEEDS RESEARCH],www.alionscienceandtechnology.com,smallbusiness@alionscienceandtechnology.com; sblo@alionscienceandtechnology.com; small.business@alionscienceandtechnology.com; supplier.diversity@alionscienceandtechnology.com; osdbu@alionscienceandtechnology.com; procurement@alionscienceandtechnology.com,PENDING,
