company,contract_count,total_contract_value,agencies,naics,has_subcontract_plan
NORTHROP GRUMMAN SYSTEMS CORPORATION,344,8393008535.72,"DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA), DEFENSE INFORMATION SYSTEMS AGENCY (DISA), DEFENSE LOGISTICS AGENCY, DEFENSE MICROELECTRONICS ACTIVITY (DMEA), DEPARTMENTAL OFFICES","332919, 332991, 332993, 332994, 333314, 333318, 333415, 333612, 333998, 334220",True
DELOITTE CONSULTING LLP,145,6570100703.170001,"ADMINISTRATION FOR STRATEGIC PREPAREDNESS AND RESPONSE, AGENCY FOR INTERNATIONAL DEVELOPMENT, CENTERS FOR DISEASE CONTROL AND PREVENTION, CENTERS FOR MEDICARE AND MEDICAID SERVICES, DEFENSE COMMISSARY AGENCY  (DECA)","518210, 541219, 541330, 541512, 541519, 541611, 541612, 541618, 541690, 541715",True
GENERAL ATOMIC TECHNOLOGIES CORPORATION,79,5638295236.600001,"DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA), DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY, U.S. SPECIAL OPERATIONS COMMAND (USSOCOM)","334511, 336411, 336413, 541614, 541715, 561990",True
GENERAL DYNAMICS INFORMATION TECHNOLOGY  INC.,166,5290596546.350003,"ADMINISTRATION FOR CHILDREN AND FAMILIES, CENTERS FOR DISEASE CONTROL AND PREVENTION, CENTERS FOR MEDICARE AND MEDICAID SERVICES, DEFENSE HEALTH AGENCY (DHA), DEFENSE LOGISTICS AGENCY","333318, 336611, 518210, 541330, 541511, 541512, 541513, 541519, 541611, 541613",True
TRIAD NATIONAL SECURITY  LLC,2,5216885256.02,"ENERGY, DEPARTMENT OF",561210,True
SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,248,5125092304.629998,"ATF ACQUISITION AND PROPERTY MGMT DIV, DEFENSE LOGISTICS AGENCY, DEFENSE THREAT REDUCTION AGENCY (DTRA), DEPARTMENTAL OFFICES, DEPT OF THE AIR FORCE","332994, 334220, 334418, 334511, 335999, 488111, 518210, 541199, 541330, 541512",True
LEIDOS  INC.,305,5120045708.560004,"ATF ACQUISITION AND PROPERTY MGMT DIV, CENTERS FOR MEDICARE AND MEDICAID SERVICES, DEFENSE HEALTH AGENCY (DHA), DEFENSE INFORMATION SYSTEMS AGENCY (DISA), DEFENSE LOGISTICS AGENCY","334111, 334210, 334290, 334511, 541199, 541330, 541370, 541511, 541512, 541513",True
INTUITIVE MACHINES  LLC,1,4820000000.0,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,517410,True
LOCKHEED MARTIN CORPORATION,87,4519747643.079999,"DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY, FEDERAL ACQUISITION SERVICE, MISSILE DEFENSE AGENCY (MDA)","332993, 334511, 336411, 336413, 336414, 336419, 336611, 541330, 541511, 541512",True
VERTEX AEROSPACE LLC,22,4313213898.11,"DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA), DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY, DRUG ENFORCEMENT ADMINISTRATION","336411, 488190, 541330",True
HONEYWELL INTERNATIONAL INC.,124,4067873162.899999,"BUREAU OF ENGRAVING AND PRINTING, DEFENSE LOGISTICS AGENCY, DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY","236220, 333242, 333413, 333611, 334290, 334511, 336310, 336320, 336390, 336411",True
ACCENTURE FEDERAL SERVICES LLC,96,3916762888.780001,"CENTERS FOR MEDICARE AND MEDICAID SERVICES, CONSUMER FINANCIAL PROTECTION BUREAU, DEFENSE LOGISTICS AGENCY, DEPARTMENTAL OFFICES, DEPT OF THE AIR FORCE","332993, 511210, 513210, 518210, 541511, 541512, 541519, 541611, 541612, 541613",True
BEYOND NEW HORIZONS  LLC,2,3788828058.01,DEPT OF THE AIR FORCE,541330,True
LOCKHEED MARTIN CORP,15,3438185262.04,"DEPARTMENTAL OFFICES, DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY, NATIONAL AERONAUTICS AND SPACE ADMINISTRATION","332993, 336411, 336413, 336414, 541712, 541713, 541715",True
SMARTRONIX  LLC,12,3437888077.5099998,"DEPT OF THE NAVY, FEDERAL ACQUISITION SERVICE","541330, 541512, 541990",True
SPACE EXPLORATION TECHNOLOGIES CORP.,34,3428134460.32,"DEFENSE INFORMATION SYSTEMS AGENCY (DISA), DEPT OF THE AIR FORCE, NATIONAL AERONAUTICS AND SPACE ADMINISTRATION","336414, 481212, 517410, 541330, 541715",True
SAN ANTONIO FAMILY ENDEAVORS  INC.,1,3329900356.98,DEPARTMENTAL OFFICES,561210,True
HII MISSION TECHNOLOGIES CORP,7,3050209030.97,"DEPARTMENTAL OFFICES, DEPT OF THE AIR FORCE, DEPT OF THE NAVY, FEDERAL ACQUISITION SERVICE","334511, 336413, 541330, 541511, 541715, 541990",True
RAYTHEON COMPANY,85,2978919609.52,"DEFENSE LOGISTICS AGENCY, DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY, FEDERAL ACQUISITION SERVICE","332993, 333612, 334220, 334511, 336413, 336414, 336419, 541330, 541511, 541512",True
PERATON CORP.,16,2971989197.09,"DEFENSE FINANCE AND ACCOUNTING SERVICE (DFAS), DEFENSE LOGISTICS AGENCY, DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY","334290, 541330, 541511, 541512, 541519",True
THALLE CONSTRUCTION CO INC.,4,2903365914.0,"BUREAU OF RECLAMATION, DEPT OF THE ARMY","237110, 237990",True
HUNTINGTON INGALLS INDUSTRIES  INC.,91,2877924805.99,"DEPT OF THE ARMY, DEPT OF THE NAVY","332510, 336611, 488390, 541330, 811219, 811310",True
JOHNS HOPKINS UNIVERSITY,288,2816866089.06,"ADMINISTRATION FOR STRATEGIC PREPAREDNESS AND RESPONSE, CENTERS FOR DISEASE CONTROL AND PREVENTION, DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA), DEFENSE HEALTH AGENCY (DHA), DEFENSE INFORMATION SYSTEMS AGENCY (DISA)","541512, 541690, 541712, 541714, 541715, 541990",True
BAE SYSTEMS LAND & ARMAMENTS L.P.,43,2712833731.94,"DEPT OF THE ARMY, DEPT OF THE NAVY","332994, 332999, 336211, 336611, 336992, 541330",True
SALIENT CRGT  INC.,10,2673668216.9500003,"AGENCY FOR INTERNATIONAL DEVELOPMENT, DEPT OF THE AIR FORCE, DEPT OF THE NAVY, FEDERAL ACQUISITION SERVICE, FEDERAL ELECTION COMMISSION","541330, 541512, 541611",True
BECHTEL PLANT MACHINERY  INC.,6,2308047737.0,DEPT OF THE NAVY,332410,True
NORTHROP GRUMMAN CORPORATION,73,2271796813.12,"CENTERS FOR MEDICARE AND MEDICAID SERVICES, DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA), DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA), DEFENSE LOGISTICS AGENCY, DEFENSE MICROELECTRONICS ACTIVITY (DMEA)","332993, 332994, 333998, 334220, 334511, 334515, 336411, 336413, 336414, 541330",True
TECHFLOW  INC.,1,2157348169.44,TRANSPORTATION SECURITY ADMINISTRATION,811210,True
KBR WYLE SERVICES  LLC,85,2121041704.6799996,"DEPT OF THE AIR FORCE, DEPT OF THE NAVY, FEDERAL ACQUISITION SERVICE, NATIONAL AERONAUTICS AND SPACE ADMINISTRATION, NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION","488190, 518210, 541330, 541511, 541513, 541690, 541715, 561210, 611512, 811219",True
AMENTUM GOVERNMENT SERVICES HOLDINGS LLC,83,1999225539.2300003,"AGENCY FOR INTERNATIONAL DEVELOPMENT, DEFENSE INFORMATION SYSTEMS AGENCY (DISA), DEFENSE LOGISTICS AGENCY, DEFENSE THREAT REDUCTION AGENCY (DTRA), DEPARTMENTAL OFFICES","334511, 336411, 336611, 488190, 493110, 541310, 541330, 541512, 541513, 541519",True
L3HARRIS TECHNOLOGIES  INC.,132,1992158813.2599995,"DEFENSE INFORMATION SYSTEMS AGENCY (DISA), DEFENSE LOGISTICS AGENCY, DEFENSE THREAT REDUCTION AGENCY (DTRA), DEPT OF THE AIR FORCE, DEPT OF THE ARMY","333310, 333314, 334111, 334220, 334290, 334419, 334511, 334513, 334517, 335999",True
MANTECH INTERNATIONAL CORPORATION,32,1980820022.7900002,"BUREAU OF THE FISCAL SERVICE, DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA), DEFENSE HEALTH AGENCY (DHA), DEPT OF THE AIR FORCE, DEPT OF THE ARMY","334511, 541330, 541511, 541512, 541519, 541690, 541715, 541990",True
CALIFORNIA INSTITUTE OF TECHNOLOGY,111,1977598972.0800002,"DEPT OF THE NAVY, NATIONAL AERONAUTICS AND SPACE ADMINISTRATION",541715,True
RAYTHEON/LOCKHEED MARTIN JAVELIN JV,8,1922094921.89,DEPT OF THE ARMY,"336414, 541330",True
AM GENERAL LLC,40,1786267767.8499997,"DEFENSE LOGISTICS AGENCY, DEPT OF THE ARMY","326211, 333618, 336211, 336212, 336214, 336350, 336992, 541330",True
RAYTHEON TECHNOLOGIES CORPORATION,132,1779497841.3799999,"DEFENSE LOGISTICS AGENCY, DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY, NATIONAL AERONAUTICS AND SPACE ADMINISTRATION","314999, 332722, 332919, 333999, 334220, 335312, 336412, 336413, 488190, 541330",True
QTC MEDICAL SERVICES INC,22,1703176190.5500002,"DEPT OF THE ARMY, OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION (ASA), VETERANS AFFAIRS, DEPARTMENT OF","621111, 621112",True
THE MITRE CORPORATION,133,1698933474.1799996,"ADMINISTRATION FOR CHILDREN AND FAMILIES, ADMINISTRATION FOR STRATEGIC PREPAREDNESS AND RESPONSE, CENTERS FOR DISEASE CONTROL AND PREVENTION, CENTERS FOR MEDICARE AND MEDICAID SERVICES, DEFENSE HEALTH AGENCY (DHA)","541715, 541990",True
CERNER CORPORATION,25,1690841789.3200002,"VETERANS AFFAIRS, DEPARTMENT OF",541512,True
ALION SCIENCE AND TECHNOLOGY CORPORATION,16,1631620203.56,"DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY","333318, 541715",True
UNITED LAUNCH ALLIANCE  L.L.C.,29,1628789352.75,DEPT OF THE AIR FORCE,481212,True
AT&T CORP.,25,1534431337.16,"DEFENSE INFORMATION SYSTEMS AGENCY (DISA), DEPT OF THE ARMY, DEPT OF THE NAVY, ENERGY, DEPARTMENT OF, FEDERAL BUREAU OF INVESTIGATION","517110, 517112, 541519",True
SERCO INC,81,1477534032.41,"CENTERS FOR MEDICARE AND MEDICAID SERVICES, DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY, FEDERAL ACQUISITION SERVICE","334210, 334220, 334290, 334419, 334511, 334515, 336611, 517919, 524292, 541330",True
UNITED CLEANUP OAK RIDGE LLC,1,1469539174.64,"ENERGY, DEPARTMENT OF",562910,True
IRON BOW TECHNOLOGIES  LLC,77,1466670357.4799993,"DEFENSE INFORMATION SYSTEMS AGENCY (DISA), DEPT OF THE AIR FORCE, DEPT OF THE ARMY, OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION (ASA), VETERANS AFFAIRS, DEPARTMENT OF","334111, 334210, 511210, 541512, 541519",True
AMENTUM SERVICES  INC.,49,1338389027.6399999,"DEFENSE INFORMATION SYSTEMS AGENCY (DISA), DEFENSE LOGISTICS AGENCY, DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY","336411, 488190, 493110, 541330, 541519, 541715, 561210, 611512, 611519, 811111",True
INTERNATIONAL BUSINESS MACHINES CORPORATION,52,1330610689.0600002,"BUREAU OF THE FISCAL SERVICE, CENTERS FOR MEDICARE AND MEDICAID SERVICES, DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY (DCSA), DEFENSE INFORMATION SYSTEMS AGENCY (DISA), DEFENSE LOGISTICS AGENCY","334111, 518210, 541330, 541511, 541512, 541519",True
BLUE CROSS AND BLUE SHIELD OF SOUTH CAROLINA,12,1283666221.6,"CENTERS FOR MEDICARE AND MEDICAID SERVICES, RAILROAD RETIREMENT BOARD","518210, 524114, 541512, 541990, 923120, 923130",True
SALIENT CRGT INC,12,1271566091.92,"DEFENSE COMMISSARY AGENCY  (DECA), DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY (DCSA), DEPT OF THE NAVY, FEDERAL ACQUISITION SERVICE, HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF","541330, 541511, 541512, 541519, 541611",True
HENSEL PHELPS CONSTRUCTION CO.,48,1270454844.29,"DEPT OF THE ARMY, DEPT OF THE NAVY, NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY, NATIONAL INSTITUTES OF HEALTH, PUBLIC BUILDINGS SERVICE","236220, 561210",True
NAMMO PERRY INC.,6,1264545429.6100001,"DEPT OF THE ARMY, DEPT OF THE NAVY","325920, 332993",True
MEDLINE INDUSTRIES  LP,6,1186990806.4,"INDIAN HEALTH SERVICE, VETERANS AFFAIRS, DEPARTMENT OF","339112, 423450",True
ROCKWELL COLLINS  INC.,125,1154974164.86,"DEFENSE LOGISTICS AGENCY, DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY, U.S. COAST GUARD","325920, 334111, 334118, 334220, 334290, 334511, 336411, 336413, 488190, 541330",True
PERATON INC.,60,1143793954.89,"BUREAU OF THE FISCAL SERVICE, CENTERS FOR DISEASE CONTROL AND PREVENTION, CENTERS FOR MEDICARE AND MEDICAID SERVICES, COMMODITY FUTURES TRADING COMMISSION, DEFENSE INFORMATION SYSTEMS AGENCY (DISA)","334290, 517810, 518210, 541330, 541511, 541512, 541519, 541712, 541720",True
APTIM FEDERAL SERVICES  LLC,41,1131017123.4399998,"BUREAU OF OCEAN ENERGY MANAGEMENT, DEPT OF THE ARMY, DEPT OF THE NAVY, ENERGY, DEPARTMENT OF, ENVIRONMENTAL PROTECTION AGENCY","236220, 237120, 541380, 541620, 541715, 561210, 562910",True
HONEYWELL FEDERAL MANUFACTURING & TECHNOLOGIES  LLC,1,1128205330.56,"ENERGY, DEPARTMENT OF",561210,True
VALERO ENERGY CORPORATION,189,1127256161.65,DEFENSE LOGISTICS AGENCY,324110,True
MANTECH TSG-2 JOINT VENTURE,5,1105581667.0,DEPT OF THE AIR FORCE,541715,True
OLIN CORPORATION,16,1092838903.8,DEPT OF THE ARMY,332992,True
TEXTRON INC.,52,1023393430.7099999,"DEFENSE LOGISTICS AGENCY, DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY, FEDERAL AVIATION ADMINISTRATION","333318, 333997, 334412, 334515, 336411, 336413, 336992, 488190, 541330, 541370",True
CENTRAL PLATEAU CLEANUP COMPANY  LLC,5,1013077761.35,"ENERGY, DEPARTMENT OF",562910,True
WESTAT  INC.,31,992098233.1700001,"ADMINISTRATION FOR CHILDREN AND FAMILIES, AGENCY FOR HEALTHCARE RESEARCH AND QUALITY, AGRICULTURAL RESEARCH SERVICE, CENTERS FOR DISEASE CONTROL AND PREVENTION, DEPARTMENTAL OFFICES","518210, 541511, 541611, 541712, 541715, 541720, 541910, 541990",True
CGI INC,41,983719151.9400002,"CENTERS FOR MEDICARE AND MEDICAID SERVICES, DEFENSE FINANCE AND ACCOUNTING SERVICE (DFAS), DEPARTMENTAL OFFICES, DEPT OF THE NAVY, ENVIRONMENTAL PROTECTION AGENCY","518210, 541330, 541512, 541513, 541519, 561210, 561990",True
BLUEFORGE ALLIANCE,1,980744520.0,DEPT OF THE NAVY,336611,True
TRUMBULL CORPORATION AND BRAYMAN CONSTRUCTION CORPORATION  A JOINT VENTURE,3,977993086.85,DEPT OF THE ARMY,237990,True
JACOBS TECHNOLOGY INC.,64,975601065.6500001,"DEFENSE INFORMATION SYSTEMS AGENCY (DISA), DEPT OF THE ARMY, DEPT OF THE NAVY, FEDERAL BUREAU OF INVESTIGATION, MISSILE DEFENSE AGENCY (MDA)","541330, 541512, 541712, 541715, 561210, 562910, 611430",True
GENERAL DYNAMICS LAND SYSTEMS INC.,37,972577793.8199999,"DEFENSE LOGISTICS AGENCY, DEPT OF THE ARMY","332322, 336992, 336999, 541330, 541715, 811111",True
LAUREL TECHNOLOGIES PARTNERSHIP,29,941992783.3299999,DEPT OF THE NAVY,"334118, 334220, 334511, 334519",True
OPTUMSERVE HEALTH SERVICES INC,8,922213299.39,"CENTERS FOR DISEASE CONTROL AND PREVENTION, DEPT OF THE ARMY, VETERANS AFFAIRS, DEPARTMENT OF","621111, 621498",True
AUSTAL LIMITED,19,912985894.0699999,DEPT OF THE NAVY,336611,True
BATH IRON WORKS CORPORATION,4,905219941.0,DEPT OF THE NAVY,336611,True
CREDENCE MANAGEMENT SOLUTIONS LIMITED LIABILITY COMPANY,1,898752341.04,AGENCY FOR INTERNATIONAL DEVELOPMENT,541330,True
BALL CORPORATION,7,878670235.01,"DEFENSE LOGISTICS AGENCY, DEPT OF THE AIR FORCE, DEPT OF THE NAVY, NATIONAL AERONAUTICS AND SPACE ADMINISTRATION","334511, 336413, 336414, 541715",True
OSHKOSH CORPORATION,80,863316012.95,"DEFENSE LOGISTICS AGENCY, DEPT OF THE ARMY, DEPT OF THE NAVY, FEDERAL ACQUISITION SERVICE","326211, 332510, 332994, 333120, 333618, 336120, 336212, 336350, 336413, 336992",True
MVM  INC.,5,854318157.4300001,"FEDERAL ACQUISITION SERVICE, U.S. IMMIGRATION AND CUSTOMS ENFORCEMENT","561612, 624230",True
BAE SYSTEMS TECHNOLOGY SOLUTIONS & SERVICES INC.,76,846754736.5500003,"DEFENSE LOGISTICS AGENCY, DEPT OF THE AIR FORCE, DEPT OF THE NAVY, FEDERAL BUREAU OF INVESTIGATION, FEDERAL EMERGENCY MANAGEMENT AGENCY","334511, 541330, 541512, 541519, 541990",True
L3HARRIS GLOBAL COMMUNICATIONS  INC.,68,825938856.3000001,DEPT OF THE ARMY,334290,True
CLARK CONSTRUCTION GROUP LLC,6,824649091.0,"DEPT OF THE ARMY, DEPT OF THE NAVY, PUBLIC BUILDINGS SERVICE, SMITHSONIAN INSTITUTION",236220,True
BROOKHAVEN SCIENCE ASSOCIATES  LLC,2,805822524.8,"ENERGY, DEPARTMENT OF",541712,True
BELL BOEING JOINT PROJECT OFFICE,34,798555919.44,"DEFENSE LOGISTICS AGENCY, DEPT OF THE NAVY, FEDERAL ACQUISITION SERVICE","334613, 336413, 541330, 541512",True
GREAT LAKES DREDGE & DOCK CORPORATION,30,793515716.94,DEPT OF THE ARMY,237990,True
LEIDOS BIOMEDICAL RESEARCH INC,38,779690864.0,NATIONAL INSTITUTES OF HEALTH,"541715, 561210",True
FERMI RESEARCH ALLIANCE  LLC,2,768652939.36,"ENERGY, DEPARTMENT OF",541710,True
EXPRESS SCRIPTS INC,2,754587660.03,DEFENSE HEALTH AGENCY (DHA),524114,True
LEIDOS INC,26,753753275.0100001,"DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA), DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY, NATIONAL INSTITUTES OF HEALTH","333318, 334210, 334511, 336611, 541330, 541511, 541712, 541714, 541715, 561210",True
CAE USA INC.,37,753523215.1800001,"DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY, U.S. CUSTOMS AND BORDER PROTECTION","333318, 336411, 336413, 541330, 541512, 541715, 611512",True
ASGN INCORPORATED,14,752921910.0999999,"DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA), DEFENSE INFORMATION SYSTEMS AGENCY (DISA), DEPT OF THE ARMY, FEDERAL ACQUISITION SERVICE, FEDERAL BUREAU OF INVESTIGATION","513210, 541330, 541512, 541611, 541690, 541715, 541990",True
CARAHSOFT TECHNOLOGY CORP,98,740406642.2,"CENTERS FOR DISEASE CONTROL AND PREVENTION, CENTERS FOR MEDICARE AND MEDICAID SERVICES, DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY (DCSA), DEFENSE HEALTH AGENCY (DHA), DEFENSE INFORMATION SYSTEMS AGENCY (DISA)","334111, 511210, 541519",True
GEORGIA TECH RESEARCH CORPORATION,72,701897110.4999999,"DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA), DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY, MISSILE DEFENSE AGENCY (MDA)","334511, 541330, 541712, 541715",True
NORTHROP GRUMMAN SYSTEMS CORP,26,698805462.6999999,"DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY","332993, 332994, 334511, 336411, 336412, 336413, 336414, 541330, 541611, 811210",True
NATIONAL AEROSPACE SOLUTIONS  LLC,2,694288537.73,DEPT OF THE AIR FORCE,541330,True
VERIZON BUSINESS NETWORK SERVICES LLC,33,667051522.4000001,"BUREAU OF INDIAN AFFAIRS, DEFENSE INFORMATION SYSTEMS AGENCY (DISA), EDUCATION, DEPARTMENT OF, ENERGY, DEPARTMENT OF, FEDERAL AVIATION ADMINISTRATION","517110, 517111, 517911",True
LOYAL SOURCE GOVERNMENT SERVICES  LLC,5,663953560.57,"U.S. CUSTOMS AND BORDER PROTECTION, VETERANS AFFAIRS, DEPARTMENT OF","561320, 621111",True
BP P.L.C.,88,657664047.6099998,DEFENSE LOGISTICS AGENCY,324110,True
BATTELLE MEMORIAL INSTITUTE,45,655106384.3800001,"ADMINISTRATION FOR STRATEGIC PREPAREDNESS AND RESPONSE, CENTERS FOR DISEASE CONTROL AND PREVENTION, DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA), DEPT OF THE AIR FORCE, DEPT OF THE ARMY","336110, 336112, 541330, 541611, 541711, 541712, 541713, 541714, 541715, 561210",True
GENERAL DYNAMICS MISSION SYSTEMS  INC.,13,652873074.2700001,"DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY, U.S. COAST GUARD, US GEOLOGICAL SURVEY","334220, 517919, 541330, 541715",True
AECOM TECHNICAL SERVICES  INC.,101,649261225.0999999,"AGENCY FOR INTERNATIONAL DEVELOPMENT, BUREAU OF INDIAN AFFAIRS, BUREAU OF RECLAMATION, DEPT OF THE AIR FORCE, DEPT OF THE ARMY","236220, 237990, 541310, 541330, 541511, 541618, 541620, 561210, 562910",True
LEIDOS HOLDINGS  INC.,61,646008417.11,"CENTERS FOR MEDICARE AND MEDICAID SERVICES, DEFENSE HEALTH AGENCY (DHA), DEFENSE INFORMATION SYSTEMS AGENCY (DISA), DEFENSE LOGISTICS AGENCY, DEPT OF THE ARMY","334111, 334511, 541330, 541512, 541513, 541519, 541690, 541712, 541715, 541990",True
FAMILY HEALTH INTERNATIONAL,4,642196903.5400001,"AGENCY FOR INTERNATIONAL DEVELOPMENT, CENTERS FOR DISEASE CONTROL AND PREVENTION, DEPARTMENTAL OFFICES","541611, 541613, 621511",True
THE GEO GROUP INC,60,640727794.8800001,"FEDERAL PRISON SYSTEM / BUREAU OF PRISONS, U.S. IMMIGRATION AND CUSTOMS ENFORCEMENT, U.S. MARSHALS SERVICE","561210, 561612, 623990, 922140",True
GENERAL ATOMICS,16,617547227.05,"DEFENSE LOGISTICS AGENCY, DEPT OF THE AIR FORCE, DEPT OF THE NAVY, ENERGY, DEPARTMENT OF","335910, 336360, 336413, 336611, 541715",True
FEDERAL EXPRESS CORPORATION,26,613279047.4,"FEDERAL AVIATION ADMINISTRATION, FEDERAL BUREAU OF INVESTIGATION, FOOD SAFETY AND INSPECTION SERVICE, INDIAN HEALTH SERVICE, USTRANSCOM","481211, 492110",True
ROLLS-ROYCE CORPORATION,59,605538683.82,"DEFENSE LOGISTICS AGENCY, DEPT OF THE AIR FORCE, DEPT OF THE NAVY, U.S. COAST GUARD","336411, 336412, 336413, 488190, 541330, 541715",True
ENVIRONMENTAL CHEMICAL CORPORATION,17,604257994.25,"DEPT OF THE AIR FORCE, DEPT OF THE ARMY, DEPT OF THE NAVY, NATIONAL INSTITUTES OF HEALTH","236220, 237110, 562119",True
MANAGEMENT & TRAINING CORPORATION,12,599209945.44,OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION AND MANAGEMENT,611519,True
VETERANS EVALUATION SERVICES INC,6,591167678.5400001,"VETERANS AFFAIRS, DEPARTMENT OF",621111,True
BRASFIELD & GORRIE  L.L.C.,13,585487744.37,"FEDERAL BUREAU OF INVESTIGATION, PUBLIC BUILDINGS SERVICE",236220,True
ELECTRIC BOAT CORPORATION,21,584357044.94,DEPT OF THE NAVY,"334290, 334416, 334511, 336611, 541330",True
GENERAL DYNAMICS ORDNANCE & TACTICAL SYSTEMS  INC.,7,584279070.72,DEPT OF THE ARMY,332993,True
B.L. HARBERT HOLDINGS  L.L.C.,12,580701115.44,"DEPT OF THE ARMY, DEPT OF THE NAVY, FEDERAL BUREAU OF INVESTIGATION",236220,True
CONSTELLATION NEWENERGY  INC.,4,580404574.0,PUBLIC BUILDINGS SERVICE,221122,True
