Opportunity,Agency,Value Range,NAICS,Set-Aside,Deadline,Why Low Competition
DOE Grid Security Assessment,Department of Energy,$6M-$22M,541330 - Engineering Services,Small Business Set-Aside,Feb 2026,Critical infrastructure mandate; utility sector knowledge needed
MDA Test & Evaluation Support,Missile Defense Agency,$15M-$60M,541715 - R&D Engineering Sciences,Small Business Set-Aside,Mar 2026,Specialized T&E expertise; location-specific requirements
Army Medical Command - Telehealth Expansion,Army Medical Command,$5M-$18M,541512 - Computer Systems Design,SDVOSB Set-Aside,Jan 2026,Post-pandemic telehealth investment; healthcare IT specialty
NAVAIR Aircraft Sustainment Analytics,Naval Air Systems Command,$10M-$38M,541512 - Computer Systems Design,Small Business Set-Aside,Feb 2026,Predictive maintenance AI; aviation domain knowledge
Air Force Installation Support Services,Air Force Installation Command,$8M-$30M,561210 - Facilities Support,Small Business Set-Aside,Feb 2026,Multiple base requirements; regional preference common
DTRA Threat Reduction Technical Support,Defense Threat Reduction Agency,$12M-$48M,541715 - R&D Engineering Sciences,Small Business Set-Aside,Mar 2026,WMD expertise scarce; security clearance requirements
Army PEO Soldier - Equipment Integration,PEO Soldier,$6M-$24M,541330 - Engineering Services,8(a) Competitive,Jan 2026,Soldier systems expertise; rapid prototyping capability
Navy Cyber Defense Operations,Navy Cyber Forces,$10M-$42M,541512 - Computer Systems Design,Small Business Set-Aside,Feb 2026,Fleet cyber requirements growing; maritime cyber specialty
Air Force Nuclear Systems Support,Air Force Global Strike Command,$15M-$55M,541330 - Engineering Services,Full & Open (SB Factor),Mar 2026,Nuclear enterprise expertise rare; extensive vetting required
DLA Procurement Modernization,Defense Logistics Agency,$8M-$32M,541512 - Computer Systems Design,8(a) Sole Source,Jan 2026,Acquisition system modernization; DLA domain knowledge
Space Command Intelligence Support,US Space Command,$12M-$50M,541512 - Computer Systems Design,Small Business Set-Aside,Feb 2026,Space domain intelligence; TS/SCI with poly limits pool
SOCOM Special Operations Tech Support,Special Operations Command,$10M-$40M,541512 - Computer Systems Design,Small Business Set-Aside,Mar 2026,SOF-peculiar requirements; relationship-driven procurement
Army Cyber Command - Defensive Operations,Army Cyber Command,$8M-$35M,541512 - Computer Systems Design,8(a) Competitive,Feb 2026,DCO mission expansion; specialized cyber talent needed
STRATCOM Strategic Systems Support,US Strategic Command,$20M-$75M,541330 - Engineering Services,Full & Open (SB Subcontracting),Mar 2026,Nuclear C2 expertise; significant SB subcontracting required
TRANSCOM Global Logistics Platform,US Transportation Command,$12M-$48M,541512 - Computer Systems Design,Small Business Set-Aside,Feb 2026,Logistics IT modernization; mobility domain knowledge
